time	V(n002)	V(n001)	V(n003)	I(L2)	I(L1)	I(V2)	I(V1)
1.846423259703442e-01	-8.220211e-01	1.779789e-01	8.937620e-02	5.000034e+02	5.000034e+02	-5.000034e+02	-5.000034e+02
1.856188884703442e-01	-7.855546e-01	2.144454e-01	1.075923e-01	5.000030e+02	5.000030e+02	-5.000030e+02	-5.000030e+02
1.865954509703442e-01	-7.461315e-01	2.538685e-01	1.272853e-01	5.000027e+02	5.000027e+02	-5.000027e+02	-5.000027e+02
1.875720134703442e-01	-7.039001e-01	2.960999e-01	1.483811e-01	5.000023e+02	5.000023e+02	-5.000023e+02	-5.000023e+02
1.885485759703442e-01	-6.590194e-01	3.409806e-01	1.708004e-01	5.000020e+02	5.000020e+02	-5.000020e+02	-5.000020e+02
1.895251384703442e-01	-6.116582e-01	3.883418e-01	1.944586e-01	5.000016e+02	5.000016e+02	-5.000016e+02	-5.000016e+02
1.914782634703442e-01	-5.102165e-01	4.897835e-01	2.451318e-01	5.000011e+02	5.000011e+02	-5.000011e+02	-5.000011e+02
1.934313884703442e-01	-4.011006e-01	5.988994e-01	2.996384e-01	5.000007e+02	5.000007e+02	-5.000007e+02	-5.000007e+02
1.953845134703442e-01	-2.859518e-01	7.140482e-01	3.571586e-01	5.000003e+02	5.000003e+02	-5.000003e+02	-5.000003e+02
1.973376384703442e-01	-1.665020e-01	8.334979e-01	4.168273e-01	5.000001e+02	5.000001e+02	-5.000001e+02	-5.000001e+02
1.992907634703442e-01	-4.454790e-02	9.554521e-01	4.777470e-01	5.000000e+02	5.000000e+02	-5.000000e+02	-5.000000e+02
2.012438884703442e-01	7.807627e-02	1.078076e+00	5.390014e-01	5.000000e+02	5.000000e+02	-5.000000e+02	-5.000000e+02
2.031970134703442e-01	1.995261e-01	1.199526e+00	5.996692e-01	5.000002e+02	5.000002e+02	-5.000002e+02	-5.000002e+02
2.051501384703442e-01	3.179749e-01	1.317975e+00	6.588379e-01	5.000004e+02	5.000004e+02	-5.000004e+02	-5.000004e+02
2.071032634703442e-01	4.316410e-01	1.431641e+00	7.156174e-01	5.000008e+02	5.000008e+02	-5.000008e+02	-5.000008e+02
2.090563884703442e-01	5.388149e-01	1.538815e+00	7.691540e-01	5.000013e+02	5.000013e+02	-5.000013e+02	-5.000013e+02
2.110095134703442e-01	6.378844e-01	1.637884e+00	8.186421e-01	5.000018e+02	5.000018e+02	-5.000018e+02	-5.000018e+02
2.129626384703442e-01	7.273597e-01	1.727360e+00	8.633376e-01	5.000025e+02	5.000025e+02	-5.000025e+02	-5.000025e+02
2.149157634703442e-01	8.058947e-01	1.805895e+00	9.025682e-01	5.000032e+02	5.000032e+02	-5.000032e+02	-5.000032e+02
2.168688884703442e-01	8.723083e-01	1.872308e+00	9.357437e-01	5.000041e+02	5.000041e+02	-5.000041e+02	-5.000041e+02
2.188220134703442e-01	9.256016e-01	1.925602e+00	9.623653e-01	5.000049e+02	5.000049e+02	-5.000049e+02	-5.000049e+02
2.207751384703442e-01	9.649730e-01	1.964973e+00	9.820325e-01	5.000059e+02	5.000059e+02	-5.000059e+02	-5.000059e+02
2.227282634703442e-01	9.898303e-01	1.989830e+00	9.944494e-01	5.000068e+02	5.000068e+02	-5.000068e+02	-5.000068e+02
2.246813884703442e-01	9.997996e-01	1.999800e+00	9.994295e-01	5.000078e+02	5.000078e+02	-5.000078e+02	-5.000078e+02
2.266345134703442e-01	9.947310e-01	1.994731e+00	9.968975e-01	5.000088e+02	5.000088e+02	-5.000088e+02	-5.000088e+02
2.285876384703442e-01	9.747007e-01	1.974701e+00	9.868918e-01	5.000097e+02	5.000097e+02	-5.000097e+02	-5.000097e+02
2.305407634703442e-01	9.400101e-01	1.940010e+00	9.695628e-01	5.000107e+02	5.000107e+02	-5.000107e+02	-5.000107e+02
2.324938884703442e-01	8.911808e-01	1.891181e+00	9.451711e-01	5.000116e+02	5.000116e+02	-5.000116e+02	-5.000116e+02
2.344470134703442e-01	8.289473e-01	1.828947e+00	9.140837e-01	5.000124e+02	5.000124e+02	-5.000124e+02	-5.000124e+02
2.364001384703442e-01	7.542456e-01	1.754246e+00	8.767680e-01	5.000132e+02	5.000132e+02	-5.000132e+02	-5.000132e+02
2.383532634703442e-01	6.681995e-01	1.668200e+00	8.337854e-01	5.000139e+02	5.000139e+02	-5.000139e+02	-5.000139e+02
2.403063884703442e-01	5.721030e-01	1.572103e+00	7.857823e-01	5.000145e+02	5.000145e+02	-5.000145e+02	-5.000145e+02
2.422595134703442e-01	4.674015e-01	1.467402e+00	7.334808e-01	5.000150e+02	5.000150e+02	-5.000150e+02	-5.000150e+02
2.442126384703442e-01	3.556698e-01	1.355670e+00	6.776676e-01	5.000154e+02	5.000154e+02	-5.000154e+02	-5.000154e+02
2.461657634703442e-01	2.385886e-01	1.238589e+00	6.191821e-01	5.000157e+02	5.000157e+02	-5.000157e+02	-5.000157e+02
2.481188884703442e-01	1.179187e-01	1.117919e+00	5.589039e-01	5.000158e+02	5.000158e+02	-5.000158e+02	-5.000158e+02
2.500720134703442e-01	-4.524725e-03	9.954753e-01	4.977398e-01	5.000159e+02	5.000159e+02	-5.000159e+02	-5.000159e+02
2.520251384703442e-01	-1.269001e-01	8.730999e-01	4.366096e-01	5.000158e+02	5.000158e+02	-5.000158e+02	-5.000158e+02
2.539782634703442e-01	-2.473668e-01	7.526332e-01	3.764330e-01	5.000157e+02	5.000157e+02	-5.000157e+02	-5.000157e+02
2.559313884703442e-01	-3.641129e-01	6.358871e-01	3.181148e-01	5.000154e+02	5.000154e+02	-5.000154e+02	-5.000154e+02
2.578845134703442e-01	-4.753824e-01	5.246176e-01	2.625325e-01	5.000150e+02	5.000150e+02	-5.000150e+02	-5.000150e+02
2.598376384703442e-01	-5.795016e-01	4.204984e-01	2.105218e-01	5.000144e+02	5.000144e+02	-5.000144e+02	-5.000144e+02
2.608142009703442e-01	-6.283857e-01	3.716143e-01	1.861028e-01	5.000141e+02	5.000141e+02	-5.000141e+02	-5.000141e+02
2.617907634703442e-01	-6.749047e-01	3.250953e-01	1.628652e-01	5.000138e+02	5.000138e+02	-5.000138e+02	-5.000138e+02
2.627673259703442e-01	-7.188835e-01	2.811165e-01	1.408965e-01	5.000135e+02	5.000135e+02	-5.000135e+02	-5.000135e+02
2.637438884703442e-01	-7.601565e-01	2.398435e-01	1.202794e-01	5.000131e+02	5.000131e+02	-5.000131e+02	-5.000131e+02
2.647204509703442e-01	-7.985685e-01	2.014315e-01	1.010914e-01	5.000128e+02	5.000128e+02	-5.000128e+02	-5.000128e+02
2.656970134703442e-01	-8.339749e-01	1.660251e-01	8.340491e-02	5.000123e+02	5.000123e+02	-5.000123e+02	-5.000123e+02
2.666735759703442e-01	-8.662424e-01	1.337576e-01	6.728635e-02	5.000119e+02	5.000119e+02	-5.000119e+02	-5.000119e+02
2.676501384703442e-01	-8.952495e-01	1.047505e-01	5.279643e-02	5.000115e+02	5.000115e+02	-5.000115e+02	-5.000115e+02
2.686267009703442e-01	-9.208872e-01	7.911285e-02	3.998968e-02	5.000110e+02	5.000110e+02	-5.000110e+02	-5.000110e+02
2.696032634703442e-01	-9.430588e-01	5.694124e-02	2.891430e-02	5.000106e+02	5.000106e+02	-5.000106e+02	-5.000106e+02
2.705798259703442e-01	-9.616809e-01	3.831909e-02	1.961199e-02	5.000101e+02	5.000101e+02	-5.000101e+02	-5.000101e+02
2.715563884703442e-01	-9.766835e-01	2.331649e-02	1.211775e-02	5.000097e+02	5.000097e+02	-5.000097e+02	-5.000097e+02
2.725329509703442e-01	-9.880101e-01	1.198990e-02	6.459781e-03	5.000092e+02	5.000092e+02	-5.000092e+02	-5.000092e+02
2.735095134703442e-01	-9.956180e-01	4.381960e-03	2.659390e-03	5.000087e+02	5.000087e+02	-5.000087e+02	-5.000087e+02
2.744860759703442e-01	-9.994787e-01	5.213026e-04	7.308778e-04	5.000082e+02	5.000082e+02	-5.000082e+02	-5.000082e+02
2.754626384703442e-01	-9.995775e-01	4.224571e-04	6.815016e-04	5.000077e+02	5.000077e+02	-5.000077e+02	-5.000077e+02
2.764392009703442e-01	-9.959142e-01	4.085796e-03	2.511448e-03	5.000072e+02	5.000072e+02	-5.000072e+02	-5.000072e+02
2.774157634703442e-01	-9.885024e-01	1.149753e-02	6.213828e-03	5.000067e+02	5.000067e+02	-5.000067e+02	-5.000067e+02
2.783923259703442e-01	-9.773703e-01	2.262977e-02	1.177471e-02	5.000063e+02	5.000063e+02	-5.000063e+02	-5.000063e+02
2.793688884703442e-01	-9.625594e-01	3.744060e-02	1.917316e-02	5.000058e+02	5.000058e+02	-5.000058e+02	-5.000058e+02
2.803454509703442e-01	-9.441257e-01	5.587430e-02	2.838133e-02	5.000053e+02	5.000053e+02	-5.000053e+02	-5.000053e+02
2.813220134703442e-01	-9.221385e-01	7.786147e-02	3.936457e-02	5.000049e+02	5.000049e+02	-5.000049e+02	-5.000049e+02
2.822985759703442e-01	-8.966807e-01	1.033194e-01	5.208154e-02	5.000044e+02	5.000044e+02	-5.000044e+02	-5.000044e+02
2.832751384703442e-01	-8.678479e-01	1.321521e-01	6.648437e-02	5.000040e+02	5.000040e+02	-5.000040e+02	-5.000040e+02
2.842517009703442e-01	-8.357487e-01	1.642513e-01	8.251886e-02	5.000036e+02	5.000036e+02	-5.000036e+02	-5.000036e+02
2.852282634703442e-01	-8.005039e-01	1.994961e-01	1.001246e-01	5.000032e+02	5.000032e+02	-5.000032e+02	-5.000032e+02
2.862048259703442e-01	-7.622463e-01	2.377537e-01	1.192355e-01	5.000028e+02	5.000028e+02	-5.000028e+02	-5.000028e+02
2.871813884703442e-01	-7.211197e-01	2.788803e-01	1.397794e-01	5.000024e+02	5.000024e+02	-5.000024e+02	-5.000024e+02
2.881579509703442e-01	-6.772790e-01	3.227210e-01	1.616791e-01	5.000021e+02	5.000021e+02	-5.000021e+02	-5.000021e+02
