time	V(n002)	V(n003)	I(C1)	I(V2)	I(V1)
1.660876384703442e-01	-8.472657e-01	1.527344e-01	-3.335342e+01	3.335342e+01	3.335342e+01
1.670642009703442e-01	-8.782429e-01	1.217571e-01	-3.002827e+01	3.002827e+01	3.002827e+01
1.680407634703442e-01	-9.059146e-01	9.408540e-02	-2.659011e+01	2.659011e+01	2.659011e+01
1.690173259703442e-01	-9.301767e-01	6.982332e-02	-2.305187e+01	2.305187e+01	2.305187e+01
1.699938884703442e-01	-9.509378e-01	4.906221e-02	-1.942686e+01	1.942686e+01	1.942686e+01
1.709704509703442e-01	-9.681197e-01	3.188023e-02	-1.572873e+01	1.572873e+01	1.572873e+01
1.719470134703442e-01	-9.816580e-01	1.834203e-02	-1.197141e+01	1.197141e+01	1.197141e+01
1.729235759703442e-01	-9.915015e-01	8.498567e-03	-8.169030e+00	8.169030e+00	8.169030e+00
1.739001384703442e-01	-9.976131e-01	2.386893e-03	-4.335902e+00	4.335902e+00	4.335902e+00
1.748767009703442e-01	-9.999700e-01	3.000868e-05	-4.864548e-01	4.864548e-01	4.864548e-01
1.758532634703442e-01	-9.985632e-01	1.436786e-03	3.364823e+00	-3.364823e+00	-3.364823e+00
1.768298259703442e-01	-9.933981e-01	6.601929e-03	7.203437e+00	-7.203437e+00	-7.203437e+00
1.778063884703442e-01	-9.844940e-01	1.550600e-02	1.101494e+01	-1.101494e+01	-1.101494e+01
1.787829509703442e-01	-9.718845e-01	2.811548e-02	1.478498e+01	-1.478498e+01	-1.478498e+01
1.797595134703442e-01	-9.556171e-01	4.438292e-02	1.849938e+01	-1.849938e+01	-1.849938e+01
1.807360759703442e-01	-9.357529e-01	6.424708e-02	2.214415e+01	-2.214415e+01	-2.214415e+01
1.817126384703442e-01	-9.123668e-01	8.763321e-02	2.570557e+01	-2.570557e+01	-2.570557e+01
1.826892009703442e-01	-8.855467e-01	1.144533e-01	2.917025e+01	-2.917025e+01	-2.917025e+01
1.836657634703442e-01	-8.553936e-01	1.446063e-01	3.252513e+01	-3.252513e+01	-3.252513e+01
1.846423259703442e-01	-8.220211e-01	1.779789e-01	3.575760e+01	-3.575760e+01	-3.575760e+01
1.856188884703442e-01	-7.855546e-01	2.144454e-01	3.885548e+01	-3.885548e+01	-3.885548e+01
1.865954509703442e-01	-7.461315e-01	2.538685e-01	4.180712e+01	-4.180712e+01	-4.180712e+01
1.875720134703442e-01	-7.039001e-01	2.960999e-01	4.460140e+01	-4.460140e+01	-4.460140e+01
1.885485759703442e-01	-6.590194e-01	3.409806e-01	4.722782e+01	-4.722782e+01	-4.722782e+01
1.895251384703442e-01	-6.116582e-01	3.883418e-01	4.967648e+01	-4.967648e+01	-4.967648e+01
1.914782634703442e-01	-5.102165e-01	4.897835e-01	5.400438e+01	-5.400438e+01	-5.400438e+01
1.934313884703442e-01	-4.011006e-01	5.988994e-01	5.752000e+01	-5.752000e+01	-5.752000e+01
1.953845134703442e-01	-2.859518e-01	7.140482e-01	6.017047e+01	-6.017047e+01	-6.017047e+01
1.973376384703442e-01	-1.665020e-01	8.334979e-01	6.191592e+01	-6.191592e+01	-6.191592e+01
1.992907634703442e-01	-4.454790e-02	9.554521e-01	6.273009e+01	-6.273009e+01	-6.273009e+01
2.012438884703442e-01	7.807627e-02	1.078076e+00	6.260075e+01	-6.260075e+01	-6.260075e+01
2.031970134703442e-01	1.995261e-01	1.199526e+00	6.152983e+01	-6.152983e+01	-6.152983e+01
2.051501384703442e-01	3.179749e-01	1.317975e+00	5.953345e+01	-5.953345e+01	-5.953345e+01
2.071032634703442e-01	4.316410e-01	1.431641e+00	5.664163e+01	-5.664163e+01	-5.664163e+01
2.090563884703442e-01	5.388149e-01	1.538815e+00	5.289787e+01	-5.289787e+01	-5.289787e+01
2.110095134703442e-01	6.378844e-01	1.637884e+00	4.835847e+01	-4.835847e+01	-4.835847e+01
2.129626384703442e-01	7.273597e-01	1.727360e+00	4.309171e+01	-4.309171e+01	-4.309171e+01
2.149157634703442e-01	8.058947e-01	1.805895e+00	3.717682e+01	-3.717682e+01	-3.717682e+01
2.168688884703442e-01	8.723083e-01	1.872308e+00	3.070275e+01	-3.070275e+01	-3.070275e+01
2.188220134703442e-01	9.256016e-01	1.925602e+00	2.376689e+01	-2.376689e+01	-2.376689e+01
2.207751384703442e-01	9.649730e-01	1.964973e+00	1.647355e+01	-1.647355e+01	-1.647355e+01
2.227282634703442e-01	9.898303e-01	1.989830e+00	8.932426e+00	-8.932426e+00	-8.932426e+00
2.246813884703442e-01	9.997996e-01	1.999800e+00	1.256955e+00	-1.256955e+00	-1.256955e+00
2.266345134703442e-01	9.947310e-01	1.994731e+00	-6.437422e+00	6.437422e+00	6.437422e+00
2.285876384703442e-01	9.747007e-01	1.974701e+00	-1.403498e+01	1.403498e+01	1.403498e+01
2.305407634703442e-01	9.400101e-01	1.940010e+00	-2.142143e+01	2.142143e+01	2.142143e+01
2.324938884703442e-01	8.911808e-01	1.891181e+00	-2.848568e+01	2.848568e+01	2.848568e+01
2.344470134703442e-01	8.289473e-01	1.828947e+00	-3.512149e+01	3.512149e+01	3.512149e+01
2.364001384703442e-01	7.542456e-01	1.754246e+00	-4.122903e+01	4.122903e+01	4.122903e+01
2.383532634703442e-01	6.681995e-01	1.668200e+00	-4.671645e+01	4.671645e+01	4.671645e+01
2.403063884703442e-01	5.721030e-01	1.572103e+00	-5.150121e+01	5.150121e+01	5.150121e+01
2.422595134703442e-01	4.674015e-01	1.467402e+00	-5.551135e+01	5.551135e+01	5.551135e+01
2.442126384703442e-01	3.556698e-01	1.355670e+00	-5.868654e+01	5.868654e+01	5.868654e+01
2.461657634703442e-01	2.385886e-01	1.238589e+00	-6.097903e+01	6.097903e+01	6.097903e+01
2.481188884703442e-01	1.179187e-01	1.117919e+00	-6.235435e+01	6.235435e+01	6.235435e+01
2.500720134703442e-01	-4.524725e-03	9.954753e-01	-6.279179e+01	6.279179e+01	6.279179e+01
2.520251384703442e-01	-1.269001e-01	8.730999e-01	-6.228479e+01	6.228479e+01	6.228479e+01
2.539782634703442e-01	-2.473668e-01	7.526332e-01	-6.084097e+01	6.084097e+01	6.084097e+01
2.559313884703442e-01	-3.641129e-01	6.358871e-01	-5.848204e+01	5.848204e+01	5.848204e+01
2.578845134703442e-01	-4.753824e-01	5.246176e-01	-5.524348e+01	5.524348e+01	5.524348e+01
2.598376384703442e-01	-5.795016e-01	4.204984e-01	-5.117402e+01	5.117402e+01	5.117402e+01
2.608142009703442e-01	-6.283857e-01	3.716143e-01	-4.884636e+01	4.884636e+01	4.884636e+01
2.617907634703442e-01	-6.749047e-01	3.250953e-01	-4.633485e+01	4.633485e+01	4.633485e+01
2.627673259703442e-01	-7.188835e-01	2.811165e-01	-4.364894e+01	4.364894e+01	4.364894e+01
2.637438884703442e-01	-7.601565e-01	2.398435e-01	-4.079876e+01	4.079876e+01	4.079876e+01
2.647204509703442e-01	-7.985685e-01	2.014315e-01	-3.779501e+01	3.779501e+01	3.779501e+01
