time	V(n003)	V(n001)	V(n002)	V(n005)	V(n004)	I(C1)	I(R3)	I(R2)	I(R1)	I(V2)	I(V1)
8.307982597034425e-02	5.000000e+00	6.306031e-01	4.231430e-01	2.115715e-01	-1.243524e+00	-1.364242e-12	-2.115715e-01	2.115715e-01	-2.115715e-01	-2.115715e-01	-2.115715e-01
8.405638847034425e-02	5.000000e+00	7.878790e-01	5.278949e-01	2.639475e-01	-1.138772e+00	-1.364242e-12	-2.639475e-01	2.639475e-01	-2.639475e-01	-2.639475e-01	-2.639475e-01
8.503295097034425e-02	5.000000e+00	9.610084e-01	6.432059e-01	3.216029e-01	-1.023461e+00	-1.250555e-12	-3.216029e-01	3.216029e-01	-3.216029e-01	-3.216029e-01	-3.216029e-01
8.600951347034425e-02	5.000000e+00	1.149340e+00	7.686419e-01	3.843209e-01	-8.980248e-01	-1.023182e-12	-3.843209e-01	3.843209e-01	-3.843209e-01	-3.843209e-01	-3.843209e-01
8.698607597034425e-02	5.000000e+00	1.352164e+00	9.037308e-01	4.518654e-01	-7.629359e-01	-9.094947e-13	-4.518654e-01	4.518654e-01	-4.518654e-01	-4.518654e-01	-4.518654e-01
8.796263847034425e-02	5.000000e+00	1.568718e+00	1.047964e+00	5.239821e-01	-6.187025e-01	-9.094947e-13	-5.239821e-01	5.239821e-01	-5.239821e-01	-5.239821e-01	-5.239821e-01
8.893920097034425e-02	5.000000e+00	1.798186e+00	1.200799e+00	6.003996e-01	-4.658675e-01	-7.958079e-13	-6.003996e-01	6.003996e-01	-6.003996e-01	-6.003996e-01	-6.003996e-01
8.991576347034425e-02	5.000000e+00	2.039706e+00	1.361661e+00	6.808303e-01	-3.050061e-01	-5.684342e-13	-6.808303e-01	6.808303e-01	-6.808303e-01	-6.808303e-01	-6.808303e-01
9.089232597034425e-02	5.000000e+00	2.292367e+00	1.529943e+00	7.649714e-01	-1.367237e-01	-4.547474e-13	-7.649714e-01	7.649714e-01	-7.649714e-01	-7.649714e-01	-7.649714e-01
9.186888847034425e-02	5.000000e+00	2.555219e+00	1.705013e+00	8.525064e-01	3.834613e-02	-3.410605e-13	-8.525064e-01	8.525064e-01	-8.525064e-01	-8.525064e-01	-8.525064e-01
9.284545097034425e-02	5.000000e+00	2.827272e+00	1.886211e+00	9.431056e-01	2.195446e-01	-1.136868e-13	-9.431056e-01	9.431056e-01	-9.431056e-01	-9.431056e-01	-9.431056e-01
9.382201347034425e-02	5.000000e+00	3.107504e+00	2.072856e+00	1.036428e+00	4.061898e-01	0.000000e+00	-1.036428e+00	1.036428e+00	-1.036428e+00	-1.036428e+00	-1.036428e+00
9.479857597034425e-02	5.000000e+00	3.394858e+00	2.264246e+00	1.132123e+00	5.975791e-01	0.000000e+00	-1.132123e+00	1.132123e+00	-1.132123e+00	-1.132123e+00	-1.132123e+00
9.675170097034425e-02	5.000000e+00	3.986587e+00	2.658360e+00	1.329180e+00	9.916936e-01	6.821210e-13	-1.329180e+00	1.329180e+00	-1.329180e+00	-1.329180e+00	-1.329180e+00
9.786777239891567e-02	5.000000e+00	4.336436e+00	2.891373e+00	1.445687e+00	1.224707e+00	8.624800e-13	-1.445687e+00	1.445687e+00	-1.445687e+00	-1.445687e+00	-1.445687e+00
9.898384382748711e-02	5.000000e+00	4.685274e+00	3.123714e+00	1.561857e+00	1.457047e+00	1.036856e-12	-1.561857e+00	1.561857e+00	-1.561857e+00	-1.561857e+00	-1.561857e+00
1.000999152560585e-01	5.000000e+00	5.033103e+00	3.355381e+00	1.677690e+00	1.688714e+00	1.205249e-12	-1.677690e+00	1.677690e+00	-1.677690e+00	-1.677690e+00	-1.677690e+00
1.012159866846300e-01	5.000000e+00	5.379921e+00	3.586375e+00	1.793188e+00	1.919709e+00	1.367659e-12	-1.793188e+00	1.793188e+00	-1.793188e+00	-1.793188e+00	-1.793188e+00
1.023320581132014e-01	5.000000e+00	5.725728e+00	3.816697e+00	1.908348e+00	2.150030e+00	1.524085e-12	-1.908348e+00	1.908348e+00	-1.908348e+00	-1.908348e+00	-1.908348e+00
1.034481295417728e-01	5.000000e+00	6.070526e+00	4.046345e+00	2.023173e+00	2.379679e+00	1.674529e-12	-2.023173e+00	2.023173e+00	-2.023173e+00	-2.023173e+00	-2.023173e+00
1.045642009703442e-01	5.000000e+00	6.414313e+00	4.275321e+00	2.137661e+00	2.608654e+00	1.818989e-12	-2.137661e+00	2.137661e+00	-2.137661e+00	-2.137661e+00	-2.137661e+00
1.074938884703442e-01	5.000000e+00	7.268241e+00	4.844071e+00	2.422036e+00	3.177405e+00	2.273737e-12	-2.422036e+00	2.422036e+00	-2.422036e+00	-2.422036e+00	-2.422036e+00
1.104235759703442e-01	5.000000e+00	8.045529e+00	5.361775e+00	2.680888e+00	3.695109e+00	3.637979e-12	-2.680888e+00	2.680888e+00	-2.680888e+00	-2.680888e+00	-2.680888e+00
1.133532634703442e-01	5.000000e+00	8.719911e+00	5.810940e+00	2.905470e+00	4.144274e+00	4.092726e-12	-2.905470e+00	2.905470e+00	-2.905470e+00	-2.905470e+00	-2.905470e+00
1.162829509703442e-01	5.000000e+00	9.268600e+00	6.176389e+00	3.088195e+00	4.509723e+00	4.092726e-12	-3.088195e+00	3.088195e+00	-3.088195e+00	-3.088195e+00	-3.088195e+00
1.192126384703442e-01	5.000000e+00	9.673059e+00	6.445774e+00	3.222887e+00	4.779108e+00	3.183231e-12	-3.222887e+00	3.222887e+00	-3.222887e+00	-3.222887e+00	-3.222887e+00
1.221423259703442e-01	5.000000e+00	9.919619e+00	6.609993e+00	3.304996e+00	4.943326e+00	3.183231e-12	-3.304996e+00	3.304996e+00	-3.304996e+00	-3.304996e+00	-3.304996e+00
1.240954509703442e-01	5.000000e+00	9.991927e+00	6.658153e+00	3.329077e+00	4.991487e+00	3.183231e-12	-3.329077e+00	3.329077e+00	-3.329077e+00	-3.329077e+00	-3.329077e+00
1.260485759703442e-01	5.000000e+00	9.989152e+00	6.656305e+00	3.328153e+00	4.989638e+00	3.183231e-12	-3.328153e+00	3.328153e+00	-3.328153e+00	-3.328153e+00	-3.328153e+00
