time	V(n001)	V(n003)	I(C2)	I(C1)	I(I1)	I(V1)
8.991576347034425e-02	-5.920589e-01	-2.957509e-01	2.530204e+01	2.530204e+01	1.000000e+00	-2.630204e+01
9.186888847034425e-02	-4.889562e-01	-2.442481e-01	2.738718e+01	2.738718e+01	1.000000e+00	-2.838718e+01
9.382201347034425e-02	-3.784992e-01	-1.890715e-01	2.906039e+01	2.906039e+01	1.000000e+00	-3.006039e+01
9.577513847034425e-02	-2.623492e-01	-1.310512e-01	3.029650e+01	3.029650e+01	1.000000e+00	-3.129650e+01
9.772826347034425e-02	-1.422532e-01	-7.105969e-02	3.107693e+01	3.107693e+01	1.000000e+00	-3.207693e+01
9.968138847034425e-02	-2.001762e-02	-9.999391e-03	3.138993e+01	3.138993e+01	1.000000e+00	-3.238993e+01
1.016345134703442e-01	1.025191e-01	5.121130e-02	3.123079e+01	3.123079e+01	1.000000e+00	-3.223079e+01
1.035876384703442e-01	2.235138e-01	1.116517e-01	3.060192e+01	3.060192e+01	1.000000e+00	-3.160192e+01
1.055407634703442e-01	3.411466e-01	1.704128e-01	2.951276e+01	2.951276e+01	1.000000e+00	-3.051276e+01
1.074938884703442e-01	4.536483e-01	2.266107e-01	2.797971e+01	2.797971e+01	1.000000e+00	-2.897971e+01
1.094470134703442e-01	5.593267e-01	2.794002e-01	2.602581e+01	2.602581e+01	1.000000e+00	-2.702581e+01
1.114001384703442e-01	6.565923e-01	3.279873e-01	2.368046e+01	2.368046e+01	1.000000e+00	-2.468046e+01
1.133532634703442e-01	7.439821e-01	3.716410e-01	2.097894e+01	2.097894e+01	1.000000e+00	-2.197894e+01
1.153063884703442e-01	8.201818e-01	4.097050e-01	1.796187e+01	1.796187e+01	1.000000e+00	-1.896187e+01
1.172595134703442e-01	8.840452e-01	4.416067e-01	1.467464e+01	1.467464e+01	1.000000e+00	-1.567464e+01
1.192126384703442e-01	9.346117e-01	4.668661e-01	1.116669e+01	1.116669e+01	1.000000e+00	-1.216669e+01
1.211657634703442e-01	9.711207e-01	4.851035e-01	7.490778e+00	7.490778e+00	1.000000e+00	-8.490779e+00
1.231188884703442e-01	9.930233e-01	4.960445e-01	3.702202e+00	3.702202e+00	1.000000e+00	-4.702202e+00
1.250720134703442e-01	9.999897e-01	4.995244e-01	-1.420592e-01	-1.420592e-01	1.000000e+00	-8.579407e-01
1.260485759703442e-01	9.978305e-01	4.984458e-01	-2.067011e+00	-2.067011e+00	1.000000e+00	1.067011e+00
1.270251384703442e-01	9.919155e-01	4.954911e-01	-3.984184e+00	-3.984184e+00	1.000000e+00	2.984184e+00
1.289782634703442e-01	9.689219e-01	4.840051e-01	-7.766382e+00	-7.766382e+00	1.000000e+00	6.766382e+00
1.309313884703442e-01	9.313548e-01	4.652392e-01	-1.143177e+01	-1.143177e+01	1.000000e+00	1.043177e+01
1.328845134703442e-01	8.797793e-01	4.394757e-01	-1.492521e+01	-1.492521e+01	1.000000e+00	1.392521e+01
1.348376384703442e-01	8.149711e-01	4.071021e-01	-1.819416e+01	-1.819416e+01	1.000000e+00	1.719416e+01
1.367907634703442e-01	7.379049e-01	3.686053e-01	-2.118945e+01	-2.118945e+01	1.000000e+00	2.018945e+01
1.387438884703442e-01	6.497400e-01	3.245643e-01	-2.386604e+01	-2.386604e+01	1.000000e+00	2.286604e+01
1.406970134703442e-01	5.518024e-01	2.756416e-01	-2.618366e+01	-2.618366e+01	1.000000e+00	2.518366e+01
1.426501384703442e-01	4.455651e-01	2.225729e-01	-2.810745e+01	-2.810745e+01	1.000000e+00	2.710745e+01
1.446032634703442e-01	3.326262e-01	1.661566e-01	-2.960848e+01	-2.960848e+01	1.000000e+00	2.860848e+01
1.465563884703442e-01	2.146842e-01	1.072411e-01	-3.066417e+01	-3.066417e+01	1.000000e+00	2.966417e+01
1.485095134703442e-01	9.351320e-02	4.671260e-02	-3.125864e+01	-3.125864e+01	1.000000e+00	3.025864e+01
1.504626384703442e-01	-2.906434e-02	-1.451850e-02	-3.138295e+01	-3.138295e+01	1.000000e+00	3.038295e+01
1.524157634703442e-01	-1.512047e-01	-7.553122e-02	-3.103524e+01	-3.103524e+01	1.000000e+00	3.003524e+01
1.543688884703442e-01	-2.710708e-01	-1.354079e-01	-3.022072e+01	-3.022072e+01	1.000000e+00	2.922072e+01
1.563220134703442e-01	-3.868598e-01	-1.932479e-01	-2.895166e+01	-2.895166e+01	1.000000e+00	2.795166e+01
1.582751384703442e-01	-4.968300e-01	-2.481813e-01	-2.724714e+01	-2.724714e+01	1.000000e+00	2.624714e+01
1.602282634703442e-01	-5.993275e-01	-2.993818e-01	-2.513280e+01	-2.513280e+01	1.000000e+00	2.413280e+01
1.621813884703442e-01	-6.928105e-01	-3.460793e-01	-2.264043e+01	-2.264043e+01	1.000000e+00	2.164043e+01
1.641345134703442e-01	-7.758730e-01	-3.875715e-01	-1.980753e+01	-1.980753e+01	1.000000e+00	1.880753e+01
1.660876384703442e-01	-8.472657e-01	-4.232342e-01	-1.667671e+01	-1.667671e+01	1.000000e+00	1.567671e+01
1.680407634703442e-01	-9.059146e-01	-4.525311e-01	-1.329506e+01	-1.329506e+01	1.000000e+00	1.229506e+01
1.699938884703442e-01	-9.509378e-01	-4.750215e-01	-9.713430e+00	-9.713430e+00	1.000000e+00	8.713430e+00
1.719470134703442e-01	-9.816580e-01	-4.903671e-01	-5.985706e+00	-5.985706e+00	1.000000e+00	4.985706e+00
1.739001384703442e-01	-9.976131e-01	-4.983372e-01	-2.167951e+00	-2.167951e+00	1.000000e+00	1.167951e+00
1.758532634703442e-01	-9.985632e-01	-4.988118e-01	1.682412e+00	1.682412e+00	1.000000e+00	-2.682412e+00
1.778063884703442e-01	-9.844940e-01	-4.917838e-01	5.507470e+00	5.507470e+00	1.000000e+00	-6.507469e+00
1.797595134703442e-01	-9.556171e-01	-4.773589e-01	9.249689e+00	9.249689e+00	1.000000e+00	-1.024969e+01
1.817126384703442e-01	-9.123668e-01	-4.557542e-01	1.285279e+01	1.285279e+01	1.000000e+00	-1.385279e+01
1.836657634703442e-01	-8.553936e-01	-4.272944e-01	1.626256e+01	1.626256e+01	1.000000e+00	-1.726256e+01
1.856188884703442e-01	-7.855546e-01	-3.924077e-01	1.942774e+01	1.942774e+01	1.000000e+00	-2.042774e+01
1.875720134703442e-01	-7.039001e-01	-3.516189e-01	2.230070e+01	2.230070e+01	1.000000e+00	-2.330070e+01
1.895251384703442e-01	-6.116582e-01	-3.055413e-01	2.483824e+01	2.483824e+01	1.000000e+00	-2.583824e+01
1.914782634703442e-01	-5.102165e-01	-2.548682e-01	2.700219e+01	2.700219e+01	1.000000e+00	-2.800219e+01
1.934313884703442e-01	-4.011006e-01	-2.003616e-01	2.876000e+01	2.876000e+01	1.000000e+00	-2.976000e+01
1.953845134703442e-01	-2.859518e-01	-1.428414e-01	3.008524e+01	3.008524e+01	1.000000e+00	-3.108524e+01
1.973376384703442e-01	-1.665020e-01	-8.317268e-02	3.095796e+01	3.095796e+01	1.000000e+00	-3.195796e+01
1.992907634703442e-01	-4.454790e-02	-2.225299e-02	3.136505e+01	3.136505e+01	1.000000e+00	-3.236505e+01
2.012438884703442e-01	7.807627e-02	3.900141e-02	3.130038e+01	3.130038e+01	1.000000e+00	-3.230038e+01
2.031970134703442e-01	1.995261e-01	9.966918e-02	3.076492e+01	3.076492e+01	1.000000e+00	-3.176492e+01
2.051501384703442e-01	3.179749e-01	1.588379e-01	2.976673e+01	2.976673e+01	1.000000e+00	-3.076673e+01
2.071032634703442e-01	4.316410e-01	2.156174e-01	2.832082e+01	2.832082e+01	1.000000e+00	-2.932082e+01
2.090563884703442e-01	5.388149e-01	2.691540e-01	2.644893e+01	2.644893e+01	1.000000e+00	-2.744893e+01
2.110095134703442e-01	6.378844e-01	3.186421e-01	2.417923e+01	2.417923e+01	1.000000e+00	-2.517923e+01
2.129626384703442e-01	7.273597e-01	3.633376e-01	2.154586e+01	2.154586e+01	1.000000e+00	-2.254586e+01
2.149157634703442e-01	8.058947e-01	4.025682e-01	1.858841e+01	1.858841e+01	1.000000e+00	-1.958841e+01
2.168688884703442e-01	8.723083e-01	4.357437e-01	1.535138e+01	1.535138e+01	1.000000e+00	-1.635138e+01
2.188220134703442e-01	9.256016e-01	4.623653e-01	1.188344e+01	1.188344e+01	1.000000e+00	-1.288344e+01
2.207751384703442e-01	9.649730e-01	4.820325e-01	8.236773e+00	8.236773e+00	1.000000e+00	-9.236773e+00
2.227282634703442e-01	9.898303e-01	4.944495e-01	4.466213e+00	4.466213e+00	1.000000e+00	-5.466213e+00
2.246813884703442e-01	9.997996e-01	4.994294e-01	6.284775e-01	6.284775e-01	1.000000e+00	-1.628477e+00
2.256579509703442e-01	9.991456e-01	4.991027e-01	-1.297559e+00	-1.297559e+00	1.000000e+00	2.975587e-01
2.266345134703442e-01	9.947310e-01	4.968975e-01	-3.218711e+00	-3.218711e+00	1.000000e+00	2.218711e+00
2.285876384703442e-01	9.747007e-01	4.868918e-01	-7.017488e+00	-7.017488e+00	1.000000e+00	6.017487e+00
2.305407634703442e-01	9.400101e-01	4.695628e-01	-1.071071e+01	-1.071071e+01	1.000000e+00	9.710713e+00
2.324938884703442e-01	8.911808e-01	4.451711e-01	-1.424284e+01	-1.424284e+01	1.000000e+00	1.324284e+01
2.344470134703442e-01	8.289473e-01	4.140837e-01	-1.756074e+01	-1.756074e+01	1.000000e+00	1.656074e+01
2.364001384703442e-01	7.542456e-01	3.767680e-01	-2.061452e+01	-2.061452e+01	1.000000e+00	1.961452e+01
2.383532634703442e-01	6.681995e-01	3.337854e-01	-2.335823e+01	-2.335823e+01	1.000000e+00	2.235823e+01
2.403063884703442e-01	5.721030e-01	2.857823e-01	-2.575061e+01	-2.575061e+01	1.000000e+00	2.475061e+01
2.422595134703442e-01	4.674015e-01	2.334808e-01	-2.775567e+01	-2.775567e+01	1.000000e+00	2.675567e+01
2.442126384703442e-01	3.556698e-01	1.776676e-01	-2.934327e+01	-2.934327e+01	1.000000e+00	2.834327e+01
2.461657634703442e-01	2.385886e-01	1.191820e-01	-3.048952e+01	-3.048952e+01	1.000000e+00	2.948952e+01
2.481188884703442e-01	1.179187e-01	5.890388e-02	-3.117717e+01	-3.117717e+01	1.000000e+00	3.017717e+01
2.500720134703442e-01	-4.524725e-03	-2.260233e-03	-3.139590e+01	-3.139590e+01	1.000000e+00	3.039590e+01
2.520251384703442e-01	-1.269001e-01	-6.339036e-02	-3.114240e+01	-3.114240e+01	1.000000e+00	3.014240e+01
2.539782634703442e-01	-2.473668e-01	-1.235670e-01	-3.042048e+01	-3.042048e+01	1.000000e+00	2.942048e+01
2.559313884703442e-01	-3.641129e-01	-1.818851e-01	-2.924102e+01	-2.924102e+01	1.000000e+00	2.824102e+01
2.578845134703442e-01	-4.753824e-01	-2.374675e-01	-2.762174e+01	-2.762174e+01	1.000000e+00	2.662174e+01
2.598376384703442e-01	-5.795016e-01	-2.894782e-01	-2.558701e+01	-2.558701e+01	1.000000e+00	2.458701e+01
2.617907634703442e-01	-6.749047e-01	-3.371348e-01	-2.316742e+01	-2.316742e+01	1.000000e+00	2.216742e+01
2.637438884703442e-01	-7.601565e-01	-3.797206e-01	-2.039938e+01	-2.039938e+01	1.000000e+00	1.939938e+01
2.656970134703442e-01	-8.339749e-01	-4.165951e-01	-1.732451e+01	-1.732451e+01	1.000000e+00	1.632451e+01
2.676501384703442e-01	-8.952495e-01	-4.472036e-01	-1.398906e+01	-1.398906e+01	1.000000e+00	1.298906e+01
2.696032634703442e-01	-9.430588e-01	-4.710857e-01	-1.044320e+01	-1.044320e+01	1.000000e+00	9.443204e+00
2.715563884703442e-01	-9.766835e-01	-4.878823e-01	-6.740272e+00	-6.740272e+00	1.000000e+00	5.740272e+00
2.735095134703442e-01	-9.956180e-01	-4.973406e-01	-2.935961e+00	-2.935961e+00	1.000000e+00	1.935961e+00
2.744860759703442e-01	-9.994787e-01	-4.992691e-01	-1.013633e+00	-1.013633e+00	1.000000e+00	1.363276e-02
2.764392009703442e-01	-9.959142e-01	-4.974886e-01	2.835219e+00	2.835219e+00	1.000000e+00	-3.835219e+00
2.783923259703442e-01	-9.773703e-01	-4.882253e-01	6.641426e+00	6.641426e+00	1.000000e+00	-7.641426e+00
2.803454509703442e-01	-9.441257e-01	-4.716187e-01	1.034774e+01	1.034774e+01	1.000000e+00	-1.134774e+01
2.822985759703442e-01	-8.966807e-01	-4.479185e-01	1.389841e+01	1.389841e+01	1.000000e+00	-1.489841e+01
2.842517009703442e-01	-8.357487e-01	-4.174811e-01	1.724004e+01	1.724004e+01	1.000000e+00	-1.824004e+01
2.862048259703442e-01	-7.622463e-01	-3.807645e-01	2.032237e+01	2.032237e+01	1.000000e+00	-2.132237e+01
2.881579509703442e-01	-6.772790e-01	-3.383209e-01	2.309902e+01	2.309902e+01	1.000000e+00	-2.409902e+01
2.901110759703442e-01	-5.821248e-01	-2.907885e-01	2.552825e+01	2.552825e+01	1.000000e+00	-2.652825e+01
2.920642009703442e-01	-4.782149e-01	-2.388825e-01	2.757350e+01	2.757350e+01	1.000000e+00	-2.857350e+01
2.940173259703442e-01	-3.671122e-01	-1.833834e-01	2.920403e+01	2.920403e+01	1.000000e+00	-3.020403e+01
2.959704509703442e-01	-2.504877e-01	-1.251260e-01	3.039530e+01	3.039530e+01	1.000000e+00	-3.139530e+01
2.979235759703442e-01	-1.300958e-01	-6.498668e-02	3.112939e+01	3.112939e+01	1.000000e+00	-3.212939e+01
2.998767009703442e-01	-7.747029e-03	-3.869870e-03	3.139528e+01	3.139528e+01	1.000000e+00	-3.239528e+01
3.018298259703442e-01	1.147182e-01	5.730515e-02	3.118894e+01	3.118894e+01	1.000000e+00	-3.218894e+01
3.037829509703442e-01	2.354580e-01	1.176182e-01	3.051350e+01	3.051350e+01	1.000000e+00	-3.151350e+01
3.057360759703442e-01	3.526563e-01	1.761622e-01	2.937910e+01	2.937910e+01	1.000000e+00	-3.037910e+01
3.076892009703442e-01	4.645503e-01	2.320566e-01	2.780282e+01	2.780282e+01	1.000000e+00	-2.880282e+01
3.096423259703442e-01	5.694571e-01	2.844606e-01	2.580835e+01	2.580835e+01	1.000000e+00	-2.680835e+01
3.115954509703442e-01	6.657986e-01	3.325861e-01	2.342570e+01	2.342570e+01	1.000000e+00	-2.442570e+01
3.135485759703442e-01	7.521260e-01	3.757091e-01	2.069072e+01	2.069072e+01	1.000000e+00	-2.169072e+01
3.155017009703442e-01	8.271406e-01	4.131812e-01	1.764452e+01	1.764452e+01	1.000000e+00	-1.864452e+01
3.174548259703442e-01	8.897144e-01	4.444386e-01	1.433293e+01	1.433293e+01	1.000000e+00	-1.533293e+01
3.194079509703442e-01	9.389059e-01	4.690112e-01	1.080576e+01	1.080576e+01	1.000000e+00	-1.180576e+01
3.213610759703442e-01	9.739755e-01	4.865295e-01	7.116061e+00	7.116061e+00	1.000000e+00	-8.116061e+00
3.233142009703442e-01	9.943955e-01	4.967299e-01	3.319331e+00	3.319331e+00	1.000000e+00	-4.319331e+00
3.252673259703442e-01	9.998589e-01	4.994591e-01	-5.273244e-01	-5.273244e-01	1.000000e+00	-4.726755e-01
3.262438884703442e-01	9.969474e-01	4.980047e-01	-2.451300e+00	-2.451300e+00	1.000000e+00	1.451300e+00
3.281970134703442e-01	9.798925e-01	4.894852e-01	-6.264365e+00	-6.264365e+00	1.000000e+00	5.264365e+00
3.301501384703442e-01	9.480991e-01	4.736035e-01	-9.983208e+00	-9.983208e+00	1.000000e+00	8.983208e+00
3.321032634703442e-01	9.020455e-01	4.505984e-01	-1.355190e+01	-1.355190e+01	1.000000e+00	1.255190e+01
3.340563884703442e-01	8.424242e-01	4.208158e-01	-1.691675e+01	-1.691675e+01	1.000000e+00	1.591675e+01
3.360095134703442e-01	7.701321e-01	3.847037e-01	-2.002716e+01	-2.002716e+01	1.000000e+00	1.902716e+01
3.379626384703442e-01	6.862565e-01	3.428054e-01	-2.283634e+01	-2.283634e+01	1.000000e+00	2.183634e+01
3.399157634703442e-01	5.920589e-01	2.957509e-01	-2.530204e+01	-2.530204e+01	1.000000e+00	2.430204e+01
3.418688884703442e-01	4.889562e-01	2.442481e-01	-2.738718e+01	-2.738718e+01	1.000000e+00	2.638718e+01
3.438220134703442e-01	3.784992e-01	1.890715e-01	-2.906039e+01	-2.906039e+01	1.000000e+00	2.806039e+01
3.457751384703442e-01	2.623492e-01	1.310512e-01	-3.029650e+01	-3.029650e+01	1.000000e+00	2.929650e+01
3.477282634703442e-01	1.422532e-01	7.105969e-02	-3.107693e+01	-3.107693e+01	1.000000e+00	3.007693e+01
3.496813884703442e-01	2.001762e-02	9.999391e-03	-3.138993e+01	-3.138993e+01	1.000000e+00	3.038993e+01
3.516345134703442e-01	-1.025191e-01	-5.121130e-02	-3.123079e+01	-3.123079e+01	1.000000e+00	3.023079e+01
3.535876384703442e-01	-2.235138e-01	-1.116517e-01	-3.060192e+01	-3.060192e+01	1.000000e+00	2.960192e+01
3.555407634703442e-01	-3.411466e-01	-1.704128e-01	-2.951276e+01	-2.951276e+01	1.000000e+00	2.851276e+01
3.574938884703442e-01	-4.536483e-01	-2.266107e-01	-2.797971e+01	-2.797971e+01	1.000000e+00	2.697971e+01
3.594470134703442e-01	-5.593267e-01	-2.794002e-01	-2.602581e+01	-2.602581e+01	1.000000e+00	2.502581e+01
3.614001384703442e-01	-6.565923e-01	-3.279873e-01	-2.368046e+01	-2.368046e+01	1.000000e+00	2.268046e+01
3.633532634703442e-01	-7.439821e-01	-3.716410e-01	-2.097894e+01	-2.097894e+01	1.000000e+00	1.997894e+01
3.653063884703442e-01	-8.201818e-01	-4.097050e-01	-1.796187e+01	-1.796187e+01	1.000000e+00	1.696187e+01
3.672595134703442e-01	-8.840452e-01	-4.416067e-01	-1.467464e+01	-1.467464e+01	1.000000e+00	1.367464e+01
3.692126384703442e-01	-9.346117e-01	-4.668661e-01	-1.116669e+01	-1.116669e+01	1.000000e+00	1.016669e+01
3.711657634703442e-01	-9.711207e-01	-4.851035e-01	-7.490778e+00	-7.490778e+00	1.000000e+00	6.490778e+00
3.731188884703442e-01	-9.930233e-01	-4.960445e-01	-3.702202e+00	-3.702202e+00	1.000000e+00	2.702202e+00
3.740954509703442e-01	-9.983854e-01	-4.987230e-01	-1.783428e+00	-1.783428e+00	1.000000e+00	7.834275e-01
3.760485759703442e-01	-9.978305e-01	-4.984458e-01	2.067011e+00	2.067011e+00	1.000000e+00	-3.067011e+00
3.780017009703442e-01	-9.822672e-01	-4.906715e-01	5.886360e+00	5.886360e+00	1.000000e+00	-6.886360e+00
3.799548259703442e-01	-9.519298e-01	-4.755170e-01	9.617173e+00	9.617173e+00	1.000000e+00	-1.061717e+01
3.819079509703442e-01	-9.072744e-01	-4.532104e-01	1.320333e+01	1.320333e+01	1.000000e+00	-1.420333e+01
3.838610759703442e-01	-8.489729e-01	-4.240870e-01	1.659090e+01	1.659090e+01	1.000000e+00	-1.759090e+01
3.858142009703442e-01	-7.779019e-01	-3.885850e-01	1.972894e+01	1.972894e+01	1.000000e+00	-2.072894e+01
3.877673259703442e-01	-6.951306e-01	-3.472382e-01	2.257022e+01	2.257022e+01	1.000000e+00	-2.357022e+01
3.897204509703442e-01	-6.019039e-01	-3.006688e-01	2.507203e+01	2.507203e+01	1.000000e+00	-2.607203e+01
3.916735759703442e-01	-4.996240e-01	-2.495769e-01	2.719673e+01	2.719673e+01	1.000000e+00	-2.819673e+01
3.936267009703442e-01	-3.898293e-01	-1.947312e-01	2.891237e+01	2.891237e+01	1.000000e+00	-2.991237e+01
3.955798259703442e-01	-2.741711e-01	-1.369566e-01	3.019314e+01	3.019314e+01	1.000000e+00	-3.119314e+01
3.975329509703442e-01	-1.543892e-01	-7.712199e-02	3.101978e+01	3.101978e+01	1.000000e+00	-3.201978e+01
3.994860759703442e-01	-3.228519e-02	-1.612740e-02	3.137985e+01	3.137985e+01	1.000000e+00	-3.237985e+01
4.014392009703442e-01	9.030447e-02	4.510975e-02	3.126794e+01	3.126794e+01	1.000000e+00	-3.226794e+01
4.033923259703442e-01	2.115359e-01	1.056684e-01	3.068573e+01	3.068573e+01	1.000000e+00	-3.168573e+01
4.053454509703442e-01	3.295856e-01	1.646377e-01	2.964198e+01	2.964198e+01	1.000000e+00	-3.064198e+01
4.072985759703442e-01	4.426780e-01	2.211307e-01	2.815238e+01	2.815238e+01	1.000000e+00	-2.915238e+01
4.092517009703442e-01	5.491121e-01	2.742977e-01	2.623935e+01	2.623935e+01	1.000000e+00	-2.723935e+01
4.112048259703442e-01	6.472871e-01	3.233390e-01	2.393165e+01	2.393165e+01	1.000000e+00	-2.493165e+01
4.131579509703442e-01	7.357263e-01	3.675170e-01	2.126400e+01	2.126400e+01	1.000000e+00	-2.226400e+01
4.151110759703442e-01	8.130995e-01	4.061672e-01	1.827652e+01	1.827652e+01	1.000000e+00	-1.927652e+01
