time	N001	V1	R1	I1
0.000231999	1.01458	-2.01458	1.01458	1
0.000232999	1.01464	-2.01464	1.01464	1
0.000233999	1.0147	-2.0147	1.0147	1
0.000234999	1.01476	-2.01476	1.01476	1
0.000235999	1.01483	-2.01483	1.01483	1
0.000236999	1.01489	-2.01489	1.01489	1
0.000237999	1.01495	-2.01495	1.01495	1
0.000238999	1.01502	-2.01502	1.01502	1
0.000239999	1.01508	-2.01508	1.01508	1
0.000240999	1.01514	-2.01514	1.01514	1
0.000241999	1.0152	-2.0152	1.0152	1
0.000242999	1.01527	-2.01527	1.01527	1
0.000243999	1.01533	-2.01533	1.01533	1
0.000244999	1.01539	-2.01539	1.01539	1
0.000245999	1.01546	-2.01546	1.01546	1
0.000246999	1.01552	-2.01552	1.01552	1
0.000247999	1.01558	-2.01558	1.01558	1
0.000248999	1.01564	-2.01564	1.01564	1
0.000249999	1.01571	-2.01571	1.01571	1
0.000250999	1.01577	-2.01577	1.01577	1
0.000251999	1.01583	-2.01583	1.01583	1
0.000252999	1.0159	-2.0159	1.0159	1
0.000253999	1.01596	-2.01596	1.01596	1
0.000254999	1.01602	-2.01602	1.01602	1
0.000255999	1.01608	-2.01608	1.01608	1
0.000256999	1.01615	-2.01615	1.01615	1
0.000257999	1.01621	-2.01621	1.01621	1
0.000258999	1.01627	-2.01627	1.01627	1
0.000259999	1.01634	-2.01634	1.01634	1
0.000260999	1.0164	-2.0164	1.0164	1
0.000261999	1.01646	-2.01646	1.01646	1
0.000262999	1.01652	-2.01652	1.01652	1
0.000263999	1.01659	-2.01659	1.01659	1
0.000264999	1.01665	-2.01665	1.01665	1
0.000265999	1.01671	-2.01671	1.01671	1
0.000266999	1.01678	-2.01678	1.01678	1
0.000267999	1.01684	-2.01684	1.01684	1
0.000268999	1.0169	-2.0169	1.0169	1
0.000269999	1.01696	-2.01696	1.01696	1
0.000270999	1.01703	-2.01703	1.01703	1
0.000271999	1.01709	-2.01709	1.01709	1
0.000272999	1.01715	-2.01715	1.01715	1
0.000273999	1.01722	-2.01722	1.01722	1
0.000274999	1.01728	-2.01728	1.01728	1
0.000275999	1.01734	-2.01734	1.01734	1
0.000276999	1.0174	-2.0174	1.0174	1
0.000277999	1.01747	-2.01747	1.01747	1
0.000278999	1.01753	-2.01753	1.01753	1
0.000279999	1.01759	-2.01759	1.01759	1
0.000280999	1.01765	-2.01765	1.01765	1
0.000281999	1.01772	-2.01772	1.01772	1
0.000282999	1.01778	-2.01778	1.01778	1
0.000283999	1.01784	-2.01784	1.01784	1
0.000284999	1.01791	-2.01791	1.01791	1
0.000286	1.01797	-2.01797	1.01797	1
0.000287	1.01803	-2.01803	1.01803	1
0.000288	1.01809	-2.01809	1.01809	1
0.000289	1.01816	-2.01816	1.01816	1
0.00029	1.01822	-2.01822	1.01822	1
0.000291	1.01828	-2.01828	1.01828	1
0.000292	1.01835	-2.01835	1.01835	1
0.000293	1.01841	-2.01841	1.01841	1
0.000294	1.01847	-2.01847	1.01847	1
0.000295	1.01853	-2.01853	1.01853	1
0.000296	1.0186	-2.0186	1.0186	1
0.000297	1.01866	-2.01866	1.01866	1
0.000298	1.01872	-2.01872	1.01872	1
0.000299	1.01879	-2.01879	1.01879	1
0.0003	1.01885	-2.01885	1.01885	1
0.000301	1.01891	-2.01891	1.01891	1
0.000302	1.01897	-2.01897	1.01897	1
0.000303	1.01904	-2.01904	1.01904	1
0.000304	1.0191	-2.0191	1.0191	1
0.000305	1.01916	-2.01916	1.01916	1
0.000306	1.01923	-2.01923	1.01923	1
0.000307	1.01929	-2.01929	1.01929	1
0.000308	1.01935	-2.01935	1.01935	1
0.000309	1.01941	-2.01941	1.01941	1
0.00031	1.01948	-2.01948	1.01948	1
0.000311	1.01954	-2.01954	1.01954	1
0.000312	1.0196	-2.0196	1.0196	1
0.000313	1.01967	-2.01967	1.01967	1
0.000314	1.01973	-2.01973	1.01973	1
0.000315	1.01979	-2.01979	1.01979	1
0.000316	1.01985	-2.01985	1.01985	1
0.000317	1.01992	-2.01992	1.01992	1
0.000318	1.01998	-2.01998	1.01998	1
0.000319	1.02004	-2.02004	1.02004	1
0.00032	1.0201	-2.0201	1.0201	1
0.000321	1.02017	-2.02017	1.02017	1
0.000322	1.02023	-2.02023	1.02023	1
0.000323	1.02029	-2.02029	1.02029	1
0.000324	1.02036	-2.02036	1.02036	1
0.000325	1.02042	-2.02042	1.02042	1
0.000326	1.02048	-2.02048	1.02048	1
0.000327	1.02054	-2.02054	1.02054	1
0.000328	1.02061	-2.02061	1.02061	1
0.000329	1.02067	-2.02067	1.02067	1
0.00033	1.02073	-2.02073	1.02073	1
0.000331	1.0208	-2.0208	1.0208	1
0.000332	1.02086	-2.02086	1.02086	1
0.000333	1.02092	-2.02092	1.02092	1
0.000334	1.02098	-2.02098	1.02098	1
0.000335	1.02105	-2.02105	1.02105	1
0.000336	1.02111	-2.02111	1.02111	1
0.000337	1.02117	-2.02117	1.02117	1
0.000338	1.02124	-2.02124	1.02124	1
0.000339	1.0213	-2.0213	1.0213	1
0.00034	1.02136	-2.02136	1.02136	1
0.000341	1.02142	-2.02142	1.02142	1
0.000342	1.02149	-2.02149	1.02149	1
0.000343	1.02155	-2.02155	1.02155	1
0.000344	1.02161	-2.02161	1.02161	1
0.000345	1.02168	-2.02168	1.02168	1
0.000346	1.02174	-2.02174	1.02174	1
0.000347	1.0218	-2.0218	1.0218	1
0.000348	1.02186	-2.02186	1.02186	1
0.000349	1.02193	-2.02193	1.02193	1
0.00035	1.02199	-2.02199	1.02199	1
0.000351	1.02205	-2.02205	1.02205	1
0.000352	1.02212	-2.02211	1.02211	1
0.000353	1.02218	-2.02218	1.02218	1
0.000354	1.02224	-2.02224	1.02224	1
0.000355	1.0223	-2.0223	1.0223	1
0.000356	1.02237	-2.02237	1.02237	1
0.000357	1.02243	-2.02243	1.02243	1
0.000358	1.02249	-2.02249	1.02249	1
0.000359	1.02255	-2.02255	1.02255	1
0.00036	1.02262	-2.02262	1.02262	1
0.000361	1.02268	-2.02268	1.02268	1
0.000362	1.02274	-2.02274	1.02274	1
0.000363	1.02281	-2.02281	1.02281	1
0.000364	1.02287	-2.02287	1.02287	1
0.000365	1.02293	-2.02293	1.02293	1
0.000366	1.02299	-2.02299	1.02299	1
0.000367	1.02306	-2.02306	1.02306	1
0.000368	1.02312	-2.02312	1.02312	1
0.000369	1.02318	-2.02318	1.02318	1
0.00037	1.02325	-2.02325	1.02325	1
0.000371	1.02331	-2.02331	1.02331	1
0.000372	1.02337	-2.02337	1.02337	1
0.000373	1.02343	-2.02343	1.02343	1
0.000374	1.0235	-2.0235	1.0235	1
0.000375	1.02356	-2.02356	1.02356	1
0.000376	1.02362	-2.02362	1.02362	1
0.000377	1.02369	-2.02369	1.02369	1
0.000378	1.02375	-2.02375	1.02375	1
0.000379	1.02381	-2.02381	1.02381	1
0.00038	1.02387	-2.02387	1.02387	1
0.000381	1.02394	-2.02394	1.02394	1
0.000382	1.024	-2.024	1.024	1
0.000383	1.02406	-2.02406	1.02406	1
0.000384	1.02413	-2.02413	1.02413	1
0.000385	1.02419	-2.02419	1.02419	1
0.000386	1.02425	-2.02425	1.02425	1
0.000387	1.02431	-2.02431	1.02431	1
0.000388	1.02438	-2.02438	1.02438	1
0.000389	1.02444	-2.02444	1.02444	1
0.00039	1.0245	-2.0245	1.0245	1
0.000391	1.02456	-2.02456	1.02456	1
0.000392	1.02463	-2.02463	1.02463	1
0.000393	1.02469	-2.02469	1.02469	1
0.000394	1.02475	-2.02475	1.02475	1
0.000395	1.02482	-2.02482	1.02482	1
0.000396	1.02488	-2.02488	1.02488	1
0.000397	1.02494	-2.02494	1.02494	1
0.000398	1.025	-2.025	1.025	1
0.000399	1.02507	-2.02507	1.02507	1
0.0004	1.02513	-2.02513	1.02513	1
0.000401	1.02519	-2.02519	1.02519	1
0.000402	1.02526	-2.02526	1.02526	1
0.000403	1.02532	-2.02532	1.02532	1
0.000404	1.02538	-2.02538	1.02538	1
0.000405	1.02544	-2.02544	1.02544	1
0.000406	1.02551	-2.02551	1.02551	1
0.000407	1.02557	-2.02557	1.02557	1
0.000408	1.02563	-2.02563	1.02563	1
0.000409	1.0257	-2.0257	1.0257	1
0.00041	1.02576	-2.02576	1.02576	1
0.000411	1.02582	-2.02582	1.02582	1
0.000412	1.02588	-2.02588	1.02588	1
0.000413	1.02595	-2.02595	1.02595	1
0.000414	1.02601	-2.02601	1.02601	1
0.000415	1.02607	-2.02607	1.02607	1
0.000416	1.02614	-2.02613	1.02614	1
0.000417	1.0262	-2.0262	1.0262	1
0.000418001	1.02626	-2.02626	1.02626	1
0.000419001	1.02632	-2.02632	1.02632	1
0.000420001	1.02639	-2.02639	1.02639	1
0.000421001	1.02645	-2.02645	1.02645	1
0.000422001	1.02651	-2.02651	1.02651	1
0.000423001	1.02657	-2.02657	1.02657	1
0.000424001	1.02664	-2.02664	1.02664	1
0.000425001	1.0267	-2.0267	1.0267	1
0.000426001	1.02676	-2.02676	1.02676	1
0.000427001	1.02683	-2.02683	1.02683	1
0.000428001	1.02689	-2.02689	1.02689	1
0.000429001	1.02695	-2.02695	1.02695	1
0.000430001	1.02701	-2.02701	1.02701	1
0.000431001	1.02708	-2.02708	1.02708	1
0.000432001	1.02714	-2.02714	1.02714	1
0.000433001	1.0272	-2.0272	1.0272	1
0.000434001	1.02727	-2.02727	1.02727	1
0.000435001	1.02733	-2.02733	1.02733	1
0.000436001	1.02739	-2.02739	1.02739	1
0.000437001	1.02745	-2.02745	1.02745	1
0.000438001	1.02752	-2.02752	1.02752	1
0.000439001	1.02758	-2.02758	1.02758	1
0.000440001	1.02764	-2.02764	1.02764	1
0.000441001	1.02771	-2.02771	1.02771	1
0.000442001	1.02777	-2.02777	1.02777	1
0.000443001	1.02783	-2.02783	1.02783	1
0.000444001	1.02789	-2.02789	1.02789	1
0.000445001	1.02796	-2.02796	1.02796	1
0.000446001	1.02802	-2.02802	1.02802	1
0.000447001	1.02808	-2.02808	1.02808	1
0.000448001	1.02814	-2.02814	1.02814	1
0.000449001	1.02821	-2.02821	1.02821	1
0.000450001	1.02827	-2.02827	1.02827	1
0.000451001	1.02833	-2.02833	1.02833	1
0.000452001	1.0284	-2.0284	1.0284	1
0.000453001	1.02846	-2.02846	1.02846	1
0.000454001	1.02852	-2.02852	1.02852	1
0.000455001	1.02858	-2.02858	1.02858	1
0.000456001	1.02865	-2.02865	1.02865	1
0.000457001	1.02871	-2.02871	1.02871	1
0.000458001	1.02877	-2.02877	1.02877	1
0.000459001	1.02884	-2.02884	1.02884	1
0.000460001	1.0289	-2.0289	1.0289	1
0.000461001	1.02896	-2.02896	1.02896	1
0.000462001	1.02902	-2.02902	1.02902	1
0.000463001	1.02909	-2.02909	1.02909	1
0.000464001	1.02915	-2.02915	1.02915	1
0.000465001	1.02921	-2.02921	1.02921	1
0.000466001	1.02928	-2.02928	1.02928	1
0.000467001	1.02934	-2.02934	1.02934	1
0.000468001	1.0294	-2.0294	1.0294	1
0.000469001	1.02946	-2.02946	1.02946	1
0.000470001	1.02953	-2.02953	1.02953	1
0.000471001	1.02959	-2.02959	1.02959	1
0.000472001	1.02965	-2.02965	1.02965	1
0.000473001	1.02972	-2.02972	1.02972	1
0.000474001	1.02978	-2.02978	1.02978	1
0.000475001	1.02984	-2.02984	1.02984	1
0.000476001	1.0299	-2.0299	1.0299	1
0.000477001	1.02997	-2.02997	1.02997	1
0.000478001	1.03003	-2.03003	1.03003	1
0.000479001	1.03009	-2.03009	1.03009	1
0.000480001	1.03015	-2.03015	1.03015	1
0.000481001	1.03022	-2.03022	1.03022	1
0.000482001	1.03028	-2.03028	1.03028	1
0.000483001	1.03034	-2.03034	1.03034	1
0.000484001	1.03041	-2.03041	1.03041	1
0.000485001	1.03047	-2.03047	1.03047	1
0.000486001	1.03053	-2.03053	1.03053	1
0.000487001	1.03059	-2.03059	1.03059	1
0.000488001	1.03066	-2.03066	1.03066	1
0.000489001	1.03072	-2.03072	1.03072	1
0.000490001	1.03078	-2.03078	1.03078	1
0.000491001	1.03085	-2.03085	1.03085	1
0.000492001	1.03091	-2.03091	1.03091	1
0.000493001	1.03097	-2.03097	1.03097	1
0.000494001	1.03103	-2.03103	1.03103	1
0.000495001	1.0311	-2.0311	1.0311	1
0.000496001	1.03116	-2.03116	1.03116	1
0.000497001	1.03122	-2.03122	1.03122	1
0.000498001	1.03129	-2.03129	1.03129	1
0.000499001	1.03135	-2.03135	1.03135	1
0.000500001	1.03141	-2.03141	1.03141	1
0.000501001	1.03147	-2.03147	1.03147	1
0.000502001	1.03154	-2.03154	1.03154	1
0.000503001	1.0316	-2.0316	1.0316	1
0.000504001	1.03166	-2.03166	1.03166	1
0.000505001	1.03172	-2.03172	1.03172	1
0.000506001	1.03179	-2.03179	1.03179	1
0.000507001	1.03185	-2.03185	1.03185	1
0.000508001	1.03191	-2.03191	1.03191	1
0.000509001	1.03198	-2.03198	1.03198	1
0.000510001	1.03204	-2.03204	1.03204	1
0.000511001	1.0321	-2.0321	1.0321	1
0.000512001	1.03216	-2.03216	1.03216	1
0.000513001	1.03223	-2.03223	1.03223	1
0.000514001	1.03229	-2.03229	1.03229	1
0.000515001	1.03235	-2.03235	1.03235	1
0.000516001	1.03242	-2.03242	1.03242	1
0.000517001	1.03248	-2.03248	1.03248	1
0.000518001	1.03254	-2.03254	1.03254	1
0.000519001	1.0326	-2.0326	1.0326	1
0.000520001	1.03267	-2.03267	1.03267	1
0.000521001	1.03273	-2.03273	1.03273	1
0.000522001	1.03279	-2.03279	1.03279	1
0.000523001	1.03286	-2.03286	1.03286	1
0.000524001	1.03292	-2.03292	1.03292	1
0.000525001	1.03298	-2.03298	1.03298	1
0.000526001	1.03304	-2.03304	1.03304	1
0.000527001	1.03311	-2.03311	1.03311	1
0.000528001	1.03317	-2.03317	1.03317	1
0.000529001	1.03323	-2.03323	1.03323	1
0.000530001	1.03329	-2.03329	1.03329	1
0.000531001	1.03336	-2.03336	1.03336	1
0.000532001	1.03342	-2.03342	1.03342	1
0.000533001	1.03348	-2.03348	1.03348	1
0.000534001	1.03355	-2.03355	1.03355	1
0.000535001	1.03361	-2.03361	1.03361	1
0.000536001	1.03367	-2.03367	1.03367	1
0.000537001	1.03373	-2.03373	1.03373	1
0.000538001	1.0338	-2.0338	1.0338	1
0.000539001	1.03386	-2.03386	1.03386	1
0.000540001	1.03392	-2.03392	1.03392	1
0.000541001	1.03399	-2.03399	1.03399	1
0.000542001	1.03405	-2.03405	1.03405	1
0.000543001	1.03411	-2.03411	1.03411	1
0.000544001	1.03417	-2.03417	1.03417	1
0.000545001	1.03424	-2.03424	1.03424	1
0.000546001	1.0343	-2.0343	1.0343	1
0.000547001	1.03436	-2.03436	1.03436	1
0.000548001	1.03443	-2.03443	1.03443	1
0.000549002	1.03449	-2.03449	1.03449	1
0.000550002	1.03455	-2.03455	1.03455	1
0.000551002	1.03461	-2.03461	1.03461	1
0.000552002	1.03468	-2.03468	1.03468	1
0.000553002	1.03474	-2.03474	1.03474	1
0.000554002	1.0348	-2.0348	1.0348	1
0.000555002	1.03486	-2.03486	1.03486	1
0.000556002	1.03493	-2.03493	1.03493	1
0.000557002	1.03499	-2.03499	1.03499	1
0.000558002	1.03505	-2.03505	1.03505	1
0.000559002	1.03512	-2.03512	1.03512	1
0.000560002	1.03518	-2.03518	1.03518	1
0.000561002	1.03524	-2.03524	1.03524	1
0.000562002	1.0353	-2.0353	1.0353	1
0.000563002	1.03537	-2.03537	1.03537	1
0.000564002	1.03543	-2.03543	1.03543	1
0.000565002	1.03549	-2.03549	1.03549	1
0.000566002	1.03556	-2.03556	1.03556	1
0.000567002	1.03562	-2.03562	1.03562	1
0.000568002	1.03568	-2.03568	1.03568	1
0.000569002	1.03574	-2.03574	1.03574	1
0.000570002	1.03581	-2.03581	1.03581	1
0.000571002	1.03587	-2.03587	1.03587	1
0.000572002	1.03593	-2.03593	1.03593	1
0.000573002	1.03599	-2.036	1.036	1
0.000574002	1.03606	-2.03606	1.03606	1
0.000575002	1.03612	-2.03612	1.03612	1
0.000576002	1.03618	-2.03618	1.03618	1
0.000577002	1.03625	-2.03625	1.03625	1
