time	V(n002)	I(C1)	I(I1)	I(V1)
2.012438884703442e-01	7.807627e-02	6.260075e+01	1.000000e+00	-6.360075e+01
2.031970134703442e-01	1.995261e-01	6.152983e+01	1.000000e+00	-6.252983e+01
2.051501384703442e-01	3.179749e-01	5.953345e+01	1.000000e+00	-6.053345e+01
2.071032634703442e-01	4.316410e-01	5.664163e+01	1.000000e+00	-5.764163e+01
2.090563884703442e-01	5.388149e-01	5.289787e+01	1.000000e+00	-5.389787e+01
2.110095134703442e-01	6.378844e-01	4.835847e+01	1.000000e+00	-4.935847e+01
2.129626384703442e-01	7.273597e-01	4.309171e+01	1.000000e+00	-4.409171e+01
2.149157634703442e-01	8.058947e-01	3.717682e+01	1.000000e+00	-3.817682e+01
2.168688884703442e-01	8.723083e-01	3.070275e+01	1.000000e+00	-3.170275e+01
2.188220134703442e-01	9.256016e-01	2.376689e+01	1.000000e+00	-2.476689e+01
2.207751384703442e-01	9.649730e-01	1.647355e+01	1.000000e+00	-1.747355e+01
2.227282634703442e-01	9.898303e-01	8.932426e+00	1.000000e+00	-9.932426e+00
2.246813884703442e-01	9.997996e-01	1.256955e+00	1.000000e+00	-2.256955e+00
2.256579509703442e-01	9.991456e-01	-2.595118e+00	1.000000e+00	1.595117e+00
2.276110759703442e-01	9.865725e-01	-1.025550e+01	1.000000e+00	9.255498e+00
2.295642009703442e-01	9.591604e-01	-1.776163e+01	1.000000e+00	1.676163e+01
2.315173259703442e-01	9.173217e-01	-2.500060e+01	1.000000e+00	2.400060e+01
2.334704509703442e-01	8.616856e-01	-3.186355e+01	1.000000e+00	3.086355e+01
2.354235759703442e-01	7.930890e-01	-3.824723e+01	1.000000e+00	3.724723e+01
2.373767009703442e-01	7.125635e-01	-4.405565e+01	1.000000e+00	4.305565e+01
2.393298259703442e-01	6.213205e-01	-4.920142e+01	1.000000e+00	4.820142e+01
2.412829509703442e-01	5.207322e-01	-5.360716e+01	1.000000e+00	5.260716e+01
2.432360759703442e-01	4.123116e-01	-5.720660e+01	1.000000e+00	5.620660e+01
2.451892009703442e-01	2.976894e-01	-5.994560e+01	1.000000e+00	5.894560e+01
2.471423259703442e-01	1.785897e-01	-6.178296e+01	1.000000e+00	6.078296e+01
2.490954509703442e-01	5.680390e-02	-6.269105e+01	1.000000e+00	6.169105e+01
2.510485759703442e-01	-6.583632e-02	-6.265620e+01	1.000000e+00	6.165620e+01
2.530017009703442e-01	-1.874863e-01	-6.167895e+01	1.000000e+00	6.067895e+01
2.549548259703442e-01	-3.063163e-01	-5.977399e+01	1.000000e+00	5.877399e+01
2.569079509703442e-01	-4.205390e-01	-5.696997e+01	1.000000e+00	5.596997e+01
2.588610759703442e-01	-5.284365e-01	-5.330907e+01	1.000000e+00	5.230907e+01
2.608142009703442e-01	-6.283857e-01	-4.884636e+01	1.000000e+00	4.784636e+01
2.627673259703442e-01	-7.188835e-01	-4.364894e+01	1.000000e+00	4.264894e+01
2.647204509703442e-01	-7.985685e-01	-3.779501e+01	1.000000e+00	3.679501e+01
2.666735759703442e-01	-8.662424e-01	-3.137261e+01	1.000000e+00	3.037261e+01
2.686267009703442e-01	-9.208872e-01	-2.447833e+01	1.000000e+00	2.347833e+01
2.705798259703442e-01	-9.616809e-01	-1.721587e+01	1.000000e+00	1.621587e+01
2.725329509703442e-01	-9.880101e-01	-9.694477e+00	1.000000e+00	8.694477e+00
2.744860759703442e-01	-9.994787e-01	-2.027266e+00	1.000000e+00	1.027266e+00
2.764392009703442e-01	-9.959142e-01	5.670438e+00	1.000000e+00	-6.670438e+00
2.783923259703442e-01	-9.773703e-01	1.328285e+01	1.000000e+00	-1.428285e+01
2.803454509703442e-01	-9.441257e-01	2.069548e+01	1.000000e+00	-2.169548e+01
2.822985759703442e-01	-8.966807e-01	2.779683e+01	1.000000e+00	-2.879683e+01
2.842517009703442e-01	-8.357487e-01	3.448009e+01	1.000000e+00	-3.548009e+01
2.862048259703442e-01	-7.622463e-01	4.064473e+01	1.000000e+00	-4.164473e+01
2.881579509703442e-01	-6.772790e-01	4.619805e+01	1.000000e+00	-4.719805e+01
2.901110759703442e-01	-5.821248e-01	5.105650e+01	1.000000e+00	-5.205650e+01
2.920642009703442e-01	-4.782149e-01	5.514701e+01	1.000000e+00	-5.614701e+01
2.940173259703442e-01	-3.671122e-01	5.840806e+01	1.000000e+00	-5.940806e+01
2.959704509703442e-01	-2.504877e-01	6.079060e+01	1.000000e+00	-6.179060e+01
2.979235759703442e-01	-1.300958e-01	6.225879e+01	1.000000e+00	-6.325879e+01
2.998767009703442e-01	-7.747029e-03	6.279055e+01	1.000000e+00	-6.379055e+01
3.018298259703442e-01	1.147182e-01	6.237788e+01	1.000000e+00	-6.337788e+01
3.037829509703442e-01	2.354580e-01	6.102699e+01	1.000000e+00	-6.202699e+01
3.057360759703442e-01	3.526563e-01	5.875821e+01	1.000000e+00	-5.975821e+01
3.076892009703442e-01	4.645503e-01	5.560563e+01	1.000000e+00	-5.660563e+01
3.096423259703442e-01	5.694571e-01	5.161671e+01	1.000000e+00	-5.261671e+01
3.115954509703442e-01	6.657986e-01	4.685141e+01	1.000000e+00	-4.785141e+01
3.135485759703442e-01	7.521260e-01	4.138143e+01	1.000000e+00	-4.238143e+01
3.155017009703442e-01	8.271406e-01	3.528903e+01	1.000000e+00	-3.628903e+01
3.174548259703442e-01	8.897144e-01	2.866586e+01	1.000000e+00	-2.966586e+01
3.194079509703442e-01	9.389059e-01	2.161152e+01	1.000000e+00	-2.261152e+01
3.213610759703442e-01	9.739755e-01	1.423212e+01	1.000000e+00	-1.523212e+01
3.233142009703442e-01	9.943955e-01	6.638662e+00	1.000000e+00	-7.638662e+00
3.252673259703442e-01	9.998589e-01	-1.054649e+00	1.000000e+00	5.464894e-02
3.272204509703442e-01	9.902835e-01	-8.732098e+00	1.000000e+00	7.732098e+00
3.291735759703442e-01	9.658134e-01	-1.627821e+01	1.000000e+00	1.527821e+01
