time	V(n001)	I(R1)	I(V1)
4.883532634703442e-01	-6.681995e-01	-6.675707e-01	6.675707e-01
4.903063884703442e-01	-5.721030e-01	-5.715647e-01	5.715647e-01
4.922595134703442e-01	-4.674015e-01	-4.669617e-01	4.669617e-01
4.942126384703442e-01	-3.556698e-01	-3.553351e-01	3.553351e-01
4.961657634703442e-01	-2.385886e-01	-2.383641e-01	2.383641e-01
4.981188884703442e-01	-1.179187e-01	-1.178078e-01	1.178078e-01
5.000720134703442e-01	4.524725e-03	4.520467e-03	-4.520467e-03
5.020251384703442e-01	1.269001e-01	1.267807e-01	-1.267807e-01
5.039782634703442e-01	2.473668e-01	2.471341e-01	-2.471341e-01
5.059313884703442e-01	3.641129e-01	3.637703e-01	-3.637703e-01
5.078845134703442e-01	4.753824e-01	4.749351e-01	-4.749351e-01
5.098376384703442e-01	5.795016e-01	5.789564e-01	-5.789564e-01
5.117907634703442e-01	6.749047e-01	6.742697e-01	-6.742697e-01
5.137438884703442e-01	7.601565e-01	7.594413e-01	-7.594413e-01
5.156970134703442e-01	8.339749e-01	8.331902e-01	-8.331902e-01
5.176501384703442e-01	8.952495e-01	8.944072e-01	-8.944072e-01
5.196032634703442e-01	9.430588e-01	9.421714e-01	-9.421714e-01
5.215563884703442e-01	9.766835e-01	9.757645e-01	-9.757645e-01
5.235095134703442e-01	9.956180e-01	9.946812e-01	-9.946812e-01
5.254626384703442e-01	9.995775e-01	9.986370e-01	-9.986370e-01
5.274157634703442e-01	9.885024e-01	9.875723e-01	-9.875723e-01
5.293688884703442e-01	9.625594e-01	9.616537e-01	-9.616537e-01
5.313220134703442e-01	9.221385e-01	9.212708e-01	-9.212708e-01
5.332751384703442e-01	8.678479e-01	8.670313e-01	-8.670313e-01
5.352282634703442e-01	8.005039e-01	7.997507e-01	-7.997507e-01
5.371813884703442e-01	7.211197e-01	7.204412e-01	-7.204412e-01
5.391345134703442e-01	6.308891e-01	6.302955e-01	-6.302955e-01
5.410876384703442e-01	5.311694e-01	5.306696e-01	-5.306696e-01
5.430407634703442e-01	4.234604e-01	4.230620e-01	-4.230620e-01
