time	V(n002)	I(C1)	I(V1)
2.276110759703442e-01	9.865725e-01	-1.025550e+01	1.025550e+01
2.295642009703442e-01	9.591604e-01	-1.776163e+01	1.776163e+01
2.315173259703442e-01	9.173217e-01	-2.500060e+01	2.500060e+01
2.334704509703442e-01	8.616856e-01	-3.186355e+01	3.186355e+01
2.354235759703442e-01	7.930890e-01	-3.824723e+01	3.824723e+01
2.373767009703442e-01	7.125635e-01	-4.405565e+01	4.405565e+01
2.393298259703442e-01	6.213205e-01	-4.920142e+01	4.920142e+01
2.412829509703442e-01	5.207322e-01	-5.360716e+01	5.360716e+01
2.432360759703442e-01	4.123116e-01	-5.720660e+01	5.720660e+01
2.451892009703442e-01	2.976894e-01	-5.994560e+01	5.994560e+01
2.471423259703442e-01	1.785897e-01	-6.178296e+01	6.178296e+01
2.490954509703442e-01	5.680390e-02	-6.269105e+01	6.269105e+01
2.510485759703442e-01	-6.583632e-02	-6.265620e+01	6.265620e+01
2.530017009703442e-01	-1.874863e-01	-6.167895e+01	6.167895e+01
2.549548259703442e-01	-3.063163e-01	-5.977399e+01	5.977399e+01
2.569079509703442e-01	-4.205390e-01	-5.696997e+01	5.696997e+01
2.588610759703442e-01	-5.284365e-01	-5.330907e+01	5.330907e+01
2.608142009703442e-01	-6.283857e-01	-4.884636e+01	4.884636e+01
2.627673259703442e-01	-7.188835e-01	-4.364894e+01	4.364894e+01
2.647204509703442e-01	-7.985685e-01	-3.779501e+01	3.779501e+01
2.666735759703442e-01	-8.662424e-01	-3.137261e+01	3.137261e+01
2.686267009703442e-01	-9.208872e-01	-2.447833e+01	2.447833e+01
2.705798259703442e-01	-9.616809e-01	-1.721587e+01	1.721587e+01
2.725329509703442e-01	-9.880101e-01	-9.694477e+00	9.694477e+00
2.744860759703442e-01	-9.994787e-01	-2.027266e+00	2.027266e+00
2.764392009703442e-01	-9.959142e-01	5.670438e+00	-5.670438e+00
2.783923259703442e-01	-9.773703e-01	1.328285e+01	-1.328285e+01
2.803454509703442e-01	-9.441257e-01	2.069548e+01	-2.069548e+01
2.822985759703442e-01	-8.966807e-01	2.779683e+01	-2.779683e+01
2.842517009703442e-01	-8.357487e-01	3.448009e+01	-3.448009e+01
2.862048259703442e-01	-7.622463e-01	4.064473e+01	-4.064473e+01
2.881579509703442e-01	-6.772790e-01	4.619805e+01	-4.619805e+01
2.901110759703442e-01	-5.821248e-01	5.105650e+01	-5.105650e+01
2.920642009703442e-01	-4.782149e-01	5.514701e+01	-5.514701e+01
2.940173259703442e-01	-3.671122e-01	5.840806e+01	-5.840806e+01
2.959704509703442e-01	-2.504877e-01	6.079060e+01	-6.079060e+01
2.979235759703442e-01	-1.300958e-01	6.225879e+01	-6.225879e+01
2.998767009703442e-01	-7.747029e-03	6.279055e+01	-6.279055e+01
3.018298259703442e-01	1.147182e-01	6.237788e+01	-6.237788e+01
3.037829509703442e-01	2.354580e-01	6.102699e+01	-6.102699e+01
3.057360759703442e-01	3.526563e-01	5.875821e+01	-5.875821e+01
3.076892009703442e-01	4.645503e-01	5.560563e+01	-5.560563e+01
3.096423259703442e-01	5.694571e-01	5.161671e+01	-5.161671e+01
3.115954509703442e-01	6.657986e-01	4.685141e+01	-4.685141e+01
3.135485759703442e-01	7.521260e-01	4.138143e+01	-4.138143e+01
3.155017009703442e-01	8.271406e-01	3.528903e+01	-3.528903e+01
3.174548259703442e-01	8.897144e-01	2.866586e+01	-2.866586e+01
3.194079509703442e-01	9.389059e-01	2.161152e+01	-2.161152e+01
3.213610759703442e-01	9.739755e-01	1.423212e+01	-1.423212e+01
3.233142009703442e-01	9.943955e-01	6.638662e+00	-6.638662e+00
3.252673259703442e-01	9.998589e-01	-1.054649e+00	1.054649e+00
3.272204509703442e-01	9.902835e-01	-8.732098e+00	8.732098e+00
3.291735759703442e-01	9.658134e-01	-1.627821e+01	1.627821e+01
3.311267009703442e-01	9.268165e-01	-2.357948e+01	2.357948e+01
3.330798259703442e-01	8.738794e-01	-3.052609e+01	3.052609e+01
3.350329509703442e-01	8.077983e-01	-3.701357e+01	3.701357e+01
3.369860759703442e-01	7.295672e-01	-4.294431e+01	4.294431e+01
3.389392009703442e-01	6.403628e-01	-4.822915e+01	4.822915e+01
3.408923259703442e-01	5.415267e-01	-5.278857e+01	5.278857e+01
3.428454509703442e-01	4.345455e-01	-5.655400e+01	5.655400e+01
3.447985759703442e-01	3.210284e-01	-5.946880e+01	5.946880e+01
3.467517009703442e-01	2.026826e-01	-6.148914e+01	6.148914e+01
3.487048259703442e-01	8.128840e-02	-6.258463e+01	6.258463e+01
