time	V(n002)	I(L1)	I(I1)	I(V1)
1.188476628613144e-01	9.262104e-01	9.916129e-03	1.000000e+00	-1.009916e+00
1.208007878613144e-01	9.653946e-01	1.176338e-02	1.000000e+00	-1.011763e+00
1.227539128613144e-01	9.900582e-01	1.367298e-02	1.000000e+00	-1.013673e+00
1.247070378613144e-01	9.998306e-01	1.561620e-02	1.000000e+00	-1.015616e+00
1.266601628613144e-01	9.945645e-01	1.756382e-02	1.000000e+00	-1.017564e+00
1.286132878613144e-01	9.743393e-01	1.948655e-02	1.000000e+00	-1.019487e+00
1.305664128613144e-01	9.394591e-01	2.135545e-02	1.000000e+00	-1.021356e+00
1.325195378613144e-01	8.904485e-01	2.314243e-02	1.000000e+00	-1.023142e+00
1.344726628613144e-01	8.280448e-01	2.482060e-02	1.000000e+00	-1.024821e+00
1.364257878613144e-01	7.531865e-01	2.636472e-02	1.000000e+00	-1.026365e+00
1.383789128613144e-01	6.669996e-01	2.775157e-02	1.000000e+00	-1.027752e+00
1.403320378613144e-01	5.707804e-01	2.896029e-02	1.000000e+00	-1.028960e+00
1.422851628613144e-01	4.659761e-01	2.997269e-02	1.000000e+00	-1.029973e+00
1.442382878613144e-01	3.541631e-01	3.077355e-02	1.000000e+00	-1.030774e+00
1.461914128613144e-01	2.370232e-01	3.135082e-02	1.000000e+00	-1.031351e+00
1.481445378613144e-01	1.163182e-01	3.169581e-02	1.000000e+00	-1.031696e+00
1.500976628613144e-01	-6.136300e-03	3.180335e-02	1.000000e+00	-1.031803e+00
1.520507878613144e-01	-1.284985e-01	3.167181e-02	1.000000e+00	-1.031672e+00
1.540039128613144e-01	-2.489280e-01	3.130317e-02	1.000000e+00	-1.031303e+00
1.559570378613144e-01	-3.656134e-01	3.070297e-02	1.000000e+00	-1.030703e+00
1.579101628613144e-01	-4.767996e-01	2.988024e-02	1.000000e+00	-1.029880e+00
1.598632878613144e-01	-5.808143e-01	2.884736e-02	1.000000e+00	-1.028847e+00
1.618164128613144e-01	-6.760930e-01	2.761985e-02	1.000000e+00	-1.027620e+00
1.637695378613144e-01	-7.612026e-01	2.621619e-02	1.000000e+00	-1.026216e+00
1.657226628613144e-01	-8.348631e-01	2.465748e-02	1.000000e+00	-1.024657e+00
1.676757878613144e-01	-8.959664e-01	2.296717e-02	1.000000e+00	-1.022967e+00
1.696289128613144e-01	-9.435936e-01	2.117068e-02	1.000000e+00	-1.021171e+00
1.715820378613144e-01	-9.770283e-01	1.929503e-02	1.000000e+00	-1.019295e+00
1.735351628613144e-01	-9.957675e-01	1.736843e-02	1.000000e+00	-1.017368e+00
1.754882878613144e-01	-9.995294e-01	1.541987e-02	1.000000e+00	-1.015420e+00
1.774414128613144e-01	-9.882575e-01	1.347864e-02	1.000000e+00	-1.013479e+00
1.793945378613144e-01	-9.621213e-01	1.157395e-02	1.000000e+00	-1.011574e+00
1.813476628613144e-01	-9.215139e-01	9.734438e-03	1.000000e+00	-1.009734e+00
1.833007878613144e-01	-8.670461e-01	7.987778e-03	1.000000e+00	-1.007988e+00
1.852539128613144e-01	-7.995370e-01	6.360240e-03	1.000000e+00	-1.006360e+00
1.862304753613144e-01	-7.612021e-01	5.598872e-03	1.000000e+00	-1.005599e+00
1.872070378613144e-01	-7.200022e-01	4.876303e-03	1.000000e+00	-1.004876e+00
1.881836003613144e-01	-6.760924e-01	4.195253e-03	1.000000e+00	-1.004195e+00
1.891601628613144e-01	-6.296379e-01	3.558286e-03	1.000000e+00	-1.003558e+00
1.901367253613144e-01	-5.808136e-01	2.967798e-03	1.000000e+00	-1.002968e+00
1.911132878613144e-01	-5.298033e-01	2.426012e-03	1.000000e+00	-1.002426e+00
1.920898503613144e-01	-4.767989e-01	1.934967e-03	1.000000e+00	-1.001935e+00
1.930664128613144e-01	-4.219999e-01	1.496512e-03	1.000000e+00	-1.001497e+00
1.940429753613144e-01	-3.656126e-01	1.112296e-03	1.000000e+00	-1.001112e+00
1.950195378613144e-01	-3.078493e-01	7.837659e-04	1.000000e+00	-1.000784e+00
1.959961003613144e-01	-2.489272e-01	5.121576e-04	1.000000e+00	-1.000512e+00
1.969726628613144e-01	-1.890683e-01	2.984935e-04	1.000000e+00	-1.000299e+00
1.979492253613144e-01	-1.284977e-01	1.435777e-04	1.000000e+00	-1.000144e+00
1.989257878613144e-01	-6.744350e-02	4.799321e-05	1.000000e+00	-1.000048e+00
1.999023503613144e-01	-6.135469e-03	1.209975e-05	1.000000e+00	-1.000012e+00
2.008789128613144e-01	5.519566e-02	3.603236e-05	1.000000e+00	-1.000036e+00
2.018554753613144e-01	1.163190e-01	1.197009e-04	1.000000e+00	-1.000120e+00
2.028320378613144e-01	1.770046e-01	2.627904e-04	1.000000e+00	-1.000263e+00
2.038086003613144e-01	2.370240e-01	4.647622e-04	1.000000e+00	-1.000465e+00
2.047851628613144e-01	2.961513e-01	7.248562e-04	1.000000e+00	-1.000725e+00
2.057617253613144e-01	3.541639e-01	1.042093e-03	1.000000e+00	-1.001042e+00
2.067382878613144e-01	4.108436e-01	1.415279e-03	1.000000e+00	-1.001415e+00
2.077148503613144e-01	4.659769e-01	1.843010e-03	1.000000e+00	-1.001843e+00
2.086914128613144e-01	5.193564e-01	2.323675e-03	1.000000e+00	-1.002324e+00
2.096679753613144e-01	5.707811e-01	2.855465e-03	1.000000e+00	-1.002855e+00
2.106445378613144e-01	6.200575e-01	3.436379e-03	1.000000e+00	-1.003436e+00
2.116211003613144e-01	6.670002e-01	4.064230e-03	1.000000e+00	-1.004064e+00
2.125976628613144e-01	7.114325e-01	4.736655e-03	1.000000e+00	-1.004737e+00
2.135742253613144e-01	7.531871e-01	5.451124e-03	1.000000e+00	-1.005451e+00
2.145507878613144e-01	7.921068e-01	6.204946e-03	1.000000e+00	-1.006205e+00
2.165039128613144e-01	8.608671e-01	7.819166e-03	1.000000e+00	-1.007819e+00
2.184570378613144e-01	9.166792e-01	9.555036e-03	1.000000e+00	-1.009555e+00
2.204101628613144e-01	9.587036e-01	1.138645e-02	1.000000e+00	-1.011386e+00
2.223632878613144e-01	9.863082e-01	1.328585e-02	1.000000e+00	-1.013286e+00
2.243164128613144e-01	9.990777e-01	1.522468e-02	1.000000e+00	-1.015225e+00
2.262695378613144e-01	9.968203e-01	1.717377e-02	1.000000e+00	-1.017174e+00
2.282226628613144e-01	9.795697e-01	1.910380e-02	1.000000e+00	-1.019104e+00
2.301757878613144e-01	9.475855e-01	2.098575e-02	1.000000e+00	-1.020986e+00
2.321289128613144e-01	9.013487e-01	2.279131e-02	1.000000e+00	-1.022791e+00
2.340820378613144e-01	8.415548e-01	2.449332e-02	1.000000e+00	-1.024493e+00
2.360351628613144e-01	7.691031e-01	2.606618e-02	1.000000e+00	-1.026066e+00
2.379882878613144e-01	6.850834e-01	2.748623e-02	1.000000e+00	-1.027486e+00
2.399414128613144e-01	5.907593e-01	2.873212e-02	1.000000e+00	-1.028732e+00
2.418945378613144e-01	4.875498e-01	2.978510e-02	1.000000e+00	-1.029785e+00
2.438476628613144e-01	3.770070e-01	3.062933e-02	1.000000e+00	-1.030629e+00
2.458007878613144e-01	2.607937e-01	3.125212e-02	1.000000e+00	-1.031252e+00
2.477539128613144e-01	1.406578e-01	3.164411e-02	1.000000e+00	-1.031644e+00
2.497070378613144e-01	1.840631e-02	3.179938e-02	1.000000e+00	-1.031799e+00
