time	V(n002)	V(n001)	V(n004)	I(C2)	I(C1)	I(V2)	I(V1)
1.162829509703442e-01	8.537201e-01	1.853720e+00	7.597917e-01	1.634902e+01	1.634902e+01	-1.634902e+01	-1.634902e+01
1.182360759703442e-01	9.110429e-01	1.911043e+00	7.884262e-01	1.294502e+01	1.294502e+01	-1.294502e+01	-1.294502e+01
1.201892009703442e-01	9.546628e-01	1.954663e+00	8.102156e-01	9.346321e+00	9.346321e+00	-9.346321e+00	-9.346321e+00
1.221423259703442e-01	9.839236e-01	1.983924e+00	8.248323e-01	5.607042e+00	5.607042e+00	-5.607042e+00	-5.607042e+00
1.240954509703442e-01	9.983854e-01	1.998385e+00	8.320563e-01	1.783427e+00	1.783427e+00	-1.783427e+00	-1.783427e+00
1.260485759703442e-01	9.978305e-01	1.997830e+00	8.317791e-01	-2.067011e+00	-2.067011e+00	2.067011e+00	2.067011e+00
1.280017009703442e-01	9.822672e-01	1.982267e+00	8.240048e-01	-5.886360e+00	-5.886360e+00	5.886360e+00	5.886360e+00
1.299548259703442e-01	9.519298e-01	1.951930e+00	8.088503e-01	-9.617173e+00	-9.617173e+00	9.617173e+00	9.617173e+00
1.319079509703442e-01	9.072744e-01	1.907274e+00	7.865437e-01	-1.320333e+01	-1.320333e+01	1.320333e+01	1.320333e+01
1.338610759703442e-01	8.489729e-01	1.848973e+00	7.574204e-01	-1.659091e+01	-1.659091e+01	1.659091e+01	1.659091e+01
1.358142009703442e-01	7.779019e-01	1.777902e+00	7.219183e-01	-1.972894e+01	-1.972894e+01	1.972894e+01	1.972894e+01
1.377673259703442e-01	6.951306e-01	1.695131e+00	6.805716e-01	-2.257022e+01	-2.257022e+01	2.257022e+01	2.257022e+01
1.397204509703442e-01	6.019039e-01	1.601904e+00	6.340021e-01	-2.507203e+01	-2.507203e+01	2.507203e+01	2.507203e+01
1.416735759703442e-01	4.996240e-01	1.499624e+00	5.829103e-01	-2.719673e+01	-2.719673e+01	2.719673e+01	2.719673e+01
1.436267009703442e-01	3.898293e-01	1.389829e+00	5.280645e-01	-2.891237e+01	-2.891237e+01	2.891237e+01	2.891237e+01
1.455798259703442e-01	2.741711e-01	1.274171e+00	4.702899e-01	-3.019314e+01	-3.019314e+01	3.019314e+01	3.019314e+01
1.475329509703442e-01	1.543892e-01	1.154389e+00	4.104553e-01	-3.101978e+01	-3.101978e+01	3.101978e+01	3.101978e+01
1.494860759703442e-01	3.228519e-02	1.032285e+00	3.494607e-01	-3.137985e+01	-3.137985e+01	3.137985e+01	3.137985e+01
1.514392009703442e-01	-9.030447e-02	9.096955e-01	2.882236e-01	-3.126794e+01	-3.126794e+01	3.126794e+01	3.126794e+01
1.533923259703442e-01	-2.115359e-01	7.884641e-01	2.276649e-01	-3.068573e+01	-3.068573e+01	3.068573e+01	3.068573e+01
1.553454509703442e-01	-3.295856e-01	6.704144e-01	1.686956e-01	-2.964198e+01	-2.964198e+01	2.964198e+01	2.964198e+01
