time	V(n001)	V(n002)	I(R2)	I(R1)	I(V1)
3.301501384703442e-01	9.480991e-01	4.736035e-01	4.736035e-01	4.736035e-01	-4.736035e-01
3.321032634703442e-01	9.020455e-01	4.505984e-01	4.505984e-01	4.505984e-01	-4.505984e-01
3.340563884703442e-01	8.424242e-01	4.208158e-01	4.208158e-01	4.208158e-01	-4.208158e-01
3.360095134703442e-01	7.701321e-01	3.847037e-01	3.847037e-01	3.847037e-01	-3.847037e-01
3.379626384703442e-01	6.862565e-01	3.428054e-01	3.428054e-01	3.428054e-01	-3.428054e-01
3.399157634703442e-01	5.920589e-01	2.957509e-01	2.957509e-01	2.957509e-01	-2.957509e-01
3.418688884703442e-01	4.889562e-01	2.442481e-01	2.442481e-01	2.442481e-01	-2.442481e-01
3.438220134703442e-01	3.784992e-01	1.890715e-01	1.890715e-01	1.890715e-01	-1.890715e-01
3.457751384703442e-01	2.623492e-01	1.310512e-01	1.310512e-01	1.310512e-01	-1.310512e-01
3.477282634703442e-01	1.422532e-01	7.105969e-02	7.105969e-02	7.105969e-02	-7.105969e-02
3.496813884703442e-01	2.001762e-02	9.999391e-03	9.999391e-03	9.999391e-03	-9.999391e-03
3.516345134703442e-01	-1.025191e-01	-5.121130e-02	-5.121130e-02	-5.121130e-02	5.121130e-02
3.535876384703442e-01	-2.235138e-01	-1.116517e-01	-1.116517e-01	-1.116517e-01	1.116517e-01
3.555407634703442e-01	-3.411466e-01	-1.704128e-01	-1.704128e-01	-1.704128e-01	1.704128e-01
3.574938884703442e-01	-4.536483e-01	-2.266107e-01	-2.266107e-01	-2.266107e-01	2.266107e-01
3.594470134703442e-01	-5.593267e-01	-2.794002e-01	-2.794002e-01	-2.794002e-01	2.794002e-01
3.614001384703442e-01	-6.565923e-01	-3.279873e-01	-3.279873e-01	-3.279873e-01	3.279873e-01
3.633532634703442e-01	-7.439821e-01	-3.716410e-01	-3.716410e-01	-3.716410e-01	3.716410e-01
3.653063884703442e-01	-8.201818e-01	-4.097050e-01	-4.097050e-01	-4.097050e-01	4.097050e-01
3.672595134703442e-01	-8.840452e-01	-4.416067e-01	-4.416067e-01	-4.416067e-01	4.416067e-01
3.692126384703442e-01	-9.346117e-01	-4.668661e-01	-4.668661e-01	-4.668661e-01	4.668661e-01
3.711657634703442e-01	-9.711207e-01	-4.851035e-01	-4.851035e-01	-4.851035e-01	4.851035e-01
3.731188884703442e-01	-9.930233e-01	-4.960445e-01	-4.960445e-01	-4.960445e-01	4.960445e-01
3.750720134703442e-01	-9.999897e-01	-4.995244e-01	-4.995244e-01	-4.995244e-01	4.995244e-01
3.770251384703442e-01	-9.919155e-01	-4.954911e-01	-4.954911e-01	-4.954911e-01	4.954911e-01
3.789782634703442e-01	-9.689219e-01	-4.840051e-01	-4.840051e-01	-4.840051e-01	4.840051e-01
3.809313884703442e-01	-9.313548e-01	-4.652392e-01	-4.652392e-01	-4.652392e-01	4.652392e-01
3.828845134703442e-01	-8.797793e-01	-4.394757e-01	-4.394757e-01	-4.394757e-01	4.394757e-01
3.848376384703442e-01	-8.149711e-01	-4.071021e-01	-4.071021e-01	-4.071021e-01	4.071021e-01
3.867907634703442e-01	-7.379049e-01	-3.686053e-01	-3.686053e-01	-3.686053e-01	3.686053e-01
3.887438884703442e-01	-6.497400e-01	-3.245643e-01	-3.245643e-01	-3.245643e-01	3.245643e-01
3.906970134703442e-01	-5.518024e-01	-2.756416e-01	-2.756416e-01	-2.756416e-01	2.756416e-01
3.926501384703442e-01	-4.455651e-01	-2.225729e-01	-2.225729e-01	-2.225729e-01	2.225729e-01
3.946032634703442e-01	-3.326262e-01	-1.661566e-01	-1.661566e-01	-1.661566e-01	1.661566e-01
3.965563884703442e-01	-2.146842e-01	-1.072411e-01	-1.072411e-01	-1.072411e-01	1.072411e-01
3.985095134703442e-01	-9.351320e-02	-4.671260e-02	-4.671260e-02	-4.671260e-02	4.671260e-02
4.014392009703442e-01	9.030447e-02	4.510975e-02	4.510975e-02	4.510975e-02	-4.510975e-02
4.033923259703442e-01	2.115359e-01	1.056684e-01	1.056684e-01	1.056684e-01	-1.056684e-01
4.053454509703442e-01	3.295856e-01	1.646377e-01	1.646377e-01	1.646377e-01	-1.646377e-01
4.072985759703442e-01	4.426780e-01	2.211307e-01	2.211307e-01	2.211307e-01	-2.211307e-01
4.092517009703442e-01	5.491121e-01	2.742977e-01	2.742977e-01	2.742977e-01	-2.742977e-01
4.112048259703442e-01	6.472871e-01	3.233390e-01	3.233390e-01	3.233390e-01	-3.233390e-01
4.131579509703442e-01	7.357263e-01	3.675170e-01	3.675170e-01	3.675170e-01	-3.675170e-01
4.151110759703442e-01	8.130995e-01	4.061672e-01	4.061672e-01	4.061672e-01	-4.061672e-01
4.170642009703442e-01	8.782429e-01	4.387082e-01	4.387082e-01	4.387082e-01	-4.387082e-01
4.190173259703442e-01	9.301767e-01	4.646507e-01	4.646507e-01	4.646507e-01	-4.646507e-01
4.209704509703442e-01	9.681197e-01	4.836044e-01	4.836044e-01	4.836044e-01	-4.836044e-01
4.229235759703442e-01	9.915015e-01	4.952843e-01	4.952843e-01	4.952843e-01	-4.952843e-01
4.248767009703442e-01	9.999700e-01	4.995145e-01	4.995145e-01	4.995145e-01	-4.995145e-01
4.268298259703442e-01	9.933981e-01	4.962317e-01	4.962317e-01	4.962317e-01	-4.962317e-01
4.287829509703442e-01	9.718845e-01	4.854850e-01	4.854850e-01	4.854850e-01	-4.854850e-01
4.307360759703442e-01	9.357529e-01	4.674362e-01	4.674362e-01	4.674362e-01	-4.674362e-01
4.326892009703442e-01	8.855467e-01	4.423567e-01	4.423567e-01	4.423567e-01	-4.423567e-01
4.346423259703442e-01	8.220211e-01	4.106238e-01	4.106238e-01	4.106238e-01	-4.106238e-01
4.365954509703442e-01	7.461315e-01	3.727147e-01	3.727147e-01	3.727147e-01	-3.727147e-01
4.385485759703442e-01	6.590194e-01	3.291996e-01	3.291996e-01	3.291996e-01	-3.291996e-01
4.405017009703442e-01	5.619950e-01	2.807331e-01	2.807331e-01	2.807331e-01	-2.807331e-01
4.424548259703442e-01	4.565177e-01	2.280440e-01	2.280440e-01	2.280440e-01	-2.280440e-01
4.444079509703442e-01	3.441739e-01	1.719250e-01	1.719250e-01	1.719250e-01	-1.719250e-01
4.463610759703442e-01	2.266535e-01	1.132201e-01	1.132201e-01	1.132201e-01	-1.132201e-01
4.483142009703442e-01	1.057239e-01	5.281222e-02	5.281222e-02	5.281222e-02	-5.281222e-02
4.512438884703442e-01	-7.807627e-02	-3.900141e-02	-3.900141e-02	-3.900141e-02	3.900141e-02
4.531970134703442e-01	-1.995261e-01	-9.966918e-02	-9.966918e-02	-9.966918e-02	9.966918e-02
4.551501384703442e-01	-3.179749e-01	-1.588379e-01	-1.588379e-01	-1.588379e-01	1.588379e-01
4.571032634703442e-01	-4.316410e-01	-2.156174e-01	-2.156174e-01	-2.156174e-01	2.156174e-01
4.590563884703442e-01	-5.388149e-01	-2.691540e-01	-2.691540e-01	-2.691540e-01	2.691540e-01
4.610095134703442e-01	-6.378844e-01	-3.186421e-01	-3.186421e-01	-3.186421e-01	3.186421e-01
4.629626384703442e-01	-7.273597e-01	-3.633376e-01	-3.633376e-01	-3.633376e-01	3.633376e-01
4.649157634703442e-01	-8.058947e-01	-4.025682e-01	-4.025682e-01	-4.025682e-01	4.025682e-01
4.668688884703442e-01	-8.723083e-01	-4.357437e-01	-4.357437e-01	-4.357437e-01	4.357437e-01
4.688220134703442e-01	-9.256016e-01	-4.623653e-01	-4.623653e-01	-4.623653e-01	4.623653e-01
4.707751384703442e-01	-9.649730e-01	-4.820325e-01	-4.820325e-01	-4.820325e-01	4.820325e-01
4.727282634703442e-01	-9.898303e-01	-4.944495e-01	-4.944495e-01	-4.944495e-01	4.944495e-01
4.746813884703442e-01	-9.997996e-01	-4.994294e-01	-4.994294e-01	-4.994294e-01	4.994294e-01
4.766345134703442e-01	-9.947310e-01	-4.968975e-01	-4.968975e-01	-4.968975e-01	4.968975e-01
4.785876384703442e-01	-9.747007e-01	-4.868918e-01	-4.868918e-01	-4.868918e-01	4.868918e-01
4.805407634703442e-01	-9.400101e-01	-4.695628e-01	-4.695628e-01	-4.695628e-01	4.695628e-01
4.824938884703442e-01	-8.911808e-01	-4.451711e-01	-4.451711e-01	-4.451711e-01	4.451711e-01
4.844470134703442e-01	-8.289473e-01	-4.140837e-01	-4.140837e-01	-4.140837e-01	4.140837e-01
4.864001384703442e-01	-7.542456e-01	-3.767680e-01	-3.767680e-01	-3.767680e-01	3.767680e-01
4.883532634703442e-01	-6.681995e-01	-3.337854e-01	-3.337854e-01	-3.337854e-01	3.337854e-01
4.903063884703442e-01	-5.721030e-01	-2.857823e-01	-2.857823e-01	-2.857823e-01	2.857823e-01
4.922595134703442e-01	-4.674015e-01	-2.334808e-01	-2.334808e-01	-2.334808e-01	2.334808e-01
4.942126384703442e-01	-3.556698e-01	-1.776676e-01	-1.776676e-01	-1.776676e-01	1.776676e-01
4.961657634703442e-01	-2.385886e-01	-1.191820e-01	-1.191820e-01	-1.191820e-01	1.191820e-01
4.981188884703442e-01	-1.179187e-01	-5.890388e-02	-5.890388e-02	-5.890388e-02	5.890388e-02
5.000720134703442e-01	4.524725e-03	2.260233e-03	2.260233e-03	2.260233e-03	-2.260233e-03
